stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1054.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,839.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,7.89,0,0,0,42.06,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,331.22,10.51,0,0,78.86,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,9.44,0,9.44,0,47.2,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,613.66,3.15,0,0,129.03,0,0,6.29,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,3,34,1,0,13,0,0,4,2,0,1,0,1,0,1,0,18,0,0,8,293,2,1,4,9,0,4,0,12,1,7,83,0,1,0,0
 24-34,0.82,0,0,1.64,5.75,0.82,0,63.21,0.82,0.82,5.75,0.82,0.82,0.82,0,0,0.82,0.82,0.82,27.91,0.82,0,11.49,362,0.82,3.28,3.28,0,0,8.21,0,0,0,1.64,79.62,0,3.28,0,1.64
 36-46,0,0,0,0.81,4.83,0,0,94.26,1.61,0.81,16.92,0,0,0.81,1.61,0,0,1.61,0.81,24.17,0,1.61,8.06,245.73,0.81,1.61,2.42,0,0,4.83,0,0,0,0,47.53,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,0,93.53,0.57,1.15,15.49,0,0,0,3.44,0,0,0.57,0,27.54,0.57,1.15,9.75,109.02,0,0,1.15,0,0,2.87,0,0,0,0,20.08,0,1.15,0,0
 60-70,0,0,0,0,3.93,0.98,0,69.69,0,1.96,16.69,0.98,0,0,1.96,0,1.96,0,0.98,18.65,0,0.98,1.96,99.13,0,0,1.96,0,0.98,1.96,0,0,0,0,6.87,0,1.96,0,0
 72-82,0,0,0.98,0,2.94,0,0.98,44.17,0.98,0.98,18.65,0,0,1.96,2.94,0.98,0,1.96,0,33.38,0,0.98,5.89,86.39,0,0.98,0.98,0,1.96,1.96,0,0,0,0,1.96,0,0,0.98,0
 84-94,0,0,0,0,7.43,0,0,38.23,2.12,1.06,12.74,1.06,0,0,3.19,0,1.06,0,0,25.49,0,1.06,10.62,62.66,0,1.06,1.06,0,0,8.5,0,0,1.06,0,3.19,1.06,5.31,0,0
 96-106,0,0,1.09,0,1.09,0,0,22.95,0,2.19,13.11,4.37,0,0,0,2.19,1.09,1.09,0,18.58,0,0,6.56,43.71,0,2.19,3.28,0,0,2.19,0,0,1.09,0,2.19,0,1.09,0,0
108-118,0,0,0,0,6.13,1.53,0,20.68,1.53,0,15.32,0,0,0,6.13,0,0.77,0,0.77,12.26,0,0,1.53,48.26,0.77,1.53,2.3,0,0,3.06,0,0,0,0,0,0,2.3,0.77,0
120,0,0,0,0,7.84,1.96,0,9.8,0,0,19.6,3.92,0,0,5.88,0,3.92,0,0,15.68,1.96,1.96,5.88,60.75,0,1.96,3.92,0,0,1.96,0,0,1.96,0,1.96,1.96,0,0,0
