stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,36,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,5,0,0,1,0,1,1,1,1,5,4,51,0,0
 24-34,0,2.46,5.75,0,2.46,0,0,0.82,0.82,1.64,1.64,0.82,0,0,0,0.82,0,0,32.83,0,0.82,0,0.82,0,0,0,0.82,0.82,4.93,188.8,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,3.22,4.03,0,0,0,0.81,1.61,0,0,29.81,0.81,0,0,0,0,0,0,0.81,0,5.64,110.38,0,0
 48-58,0,0,0.57,0,8.03,0,0,1.15,0,4.02,2.3,0,0,0,0,2.3,0,0,15.49,0,1.15,0,0.57,0,0,0,0,0,5.16,75.17,0,0.57
 60-70,0,0.98,0,0,7.85,0,0,1.96,0,9.82,6.87,0.98,0,0,0,3.93,0,1.96,24.54,0,0.98,0,0,0,0,0,0,0,4.91,101.1,0,0.98
 72-82,0,0,0.98,0,4.91,0,0,1.96,0,8.83,11.78,0,0,0,0,2.94,0,0.98,22.58,1.96,0.98,0,0,0,0,0,0,0,0.98,162.96,0,0
 84-94,0,0,1.06,0,6.37,0,0,0,0,10.62,10.62,0,0,0,0,1.06,0,0,10.62,0,0,0,0,0,0,0,0,0,2.12,143.38,0,0
 96-106,0,1.09,3.28,0,5.46,0,0,0,0,10.93,21.86,0,0,0,0,4.37,0,1.09,10.93,0,1.09,0,0,0,0,2.19,0,0,2.19,180.32,1.09,0
108-118,0,0.77,0.77,0.77,3.83,0.77,0.77,0,1.53,6.89,20.68,0.77,0,0.77,0,3.06,0,0,6.13,0,0,0,0.77,0,0,0.77,0,0,0,150.89,0,0
120,0,0,1.96,0,0,0,0,3.92,0,5.88,37.24,0,3.92,0,0,1.96,1.96,0,7.84,0,0,0,1.96,0,0,0,0,0,0,125.43,0,0
