stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,7.89,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,36.8,15.77,0,78.86,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,28.32,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.91,91.26,0,261.2,0,0,0,47.2,0,12.59,0,0,0,0,0
 14-21,0,0,1,301,10,0,9,0,19,0,1,4,1,8,0,2,0,0,1,46,1,0,107,42,87,0,14,0,1,145,4,3,366,65,0,0,0,0
 24-34,0,0,0.82,215.06,3.28,0,6.57,0,98.5,7.39,1.64,0,0,9.85,0,0.82,0,2.46,0,123.95,0,0.82,155.14,63.21,38.58,0,0,0,2.46,0.82,3.28,0,35.3,43.51,0,0,4.1,0
 36-46,0,0,0,63.65,1.61,0,8.06,0.81,82.98,18.53,4.03,0,0,4.83,0,0.81,0,1.61,0,191.75,0,9.67,69.29,27.39,19.34,0,0,0,1.61,0,0.81,0,0,11.28,0,0,0.81,0
 48-58,0,0.57,0,80.33,0,0,13.77,0,68.28,18.94,1.15,0,0,2.87,0,0,0,1.15,0,214.6,2.3,29.26,39.02,32.71,2.87,2.3,0,0,0.57,0,0.57,0,0,5.74,0,2.87,0,0.57
 60-70,0,0,0,85.39,0,0,6.87,0,70.67,26.5,0.98,0,0,2.94,0,1.96,0,1.96,0,191.4,0,45.15,27.48,27.48,0.98,1.96,0,0,2.94,0,0,0,0,0.98,0,20.61,0,16.69
 72-82,0,0,0,53.01,0.98,0,17.67,0,63.81,34.36,3.93,0,0,0.98,0,1.96,0,7.85,0.98,242.47,1.96,32.39,25.52,18.65,0,2.94,0,1.96,2.94,0,0,0,0,1.96,0,21.6,1.96,50.06
 84-94,0,0,0,108.33,1.06,0,27.61,0,93.46,27.61,2.12,0,0,1.06,0,5.31,0,6.37,0,148.69,0,28.68,22.3,10.62,0,2.12,0,2.12,1.06,0,0,0,0,5.31,1.06,15.93,0,55.23
 96-106,0,0,0,56.83,2.19,0,12.02,0,85.24,22.95,5.46,1.09,0,3.28,1.09,5.46,0,3.28,2.19,148.63,1.09,13.11,13.11,19.67,0,12.02,0,4.37,5.46,0,1.09,0,0,1.09,0,12.02,3.28,56.83
108-118,0,0,0,58.98,0,3.83,11.49,0.77,115.66,16.85,2.3,1.53,0,0,0,6.13,0.77,2.3,0.77,143.24,0,7.66,20.68,22.21,0,3.06,0,3.06,2.3,0,0.77,0,0,0.77,0,2.3,0,26.04
120,0,0,0,68.59,0,1.96,7.84,0,76.43,19.6,0,1.96,0,0,0,0,0,1.96,1.96,170.5,3.92,3.92,21.56,19.6,1.96,0,0,1.96,3.92,0,0,0,0,0,0,7.84,0,43.12
