stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,11,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,6,134,0,4,0,0,1,0,0,19,0,0,0,0,0
 24-34,0,0,0,1.64,0,48.43,0,1.64,0.82,5.75,0,0,0.82,0,0,0,0,0,60.74,0,0,4.1,214.24,0.82,8.21,0,0,0,0,0,32.83,0,0,1.64,0,0
 36-46,0,0,0,4.03,0,30.62,0,0,0,20.95,0,0,0.81,0,0,0,0,0,103.13,0,0,3.22,164.36,4.83,8.86,0,0,0.81,0,1.61,58.01,0,0.81,2.42,0,0
 48-58,0,0,0,11.48,0.57,65.99,0,0.57,4.02,40.74,0,0,1.72,0,0,6.89,0.57,0,198.54,0,0,0.57,144.03,5.16,10.33,0,0,0,0,0,44.76,0,0,1.72,0,1.15
 60-70,0,0,0,14.72,0.98,199.25,1.96,1.96,1.96,86.37,0.98,0,0,0,0,13.74,2.94,0.98,298.38,0,3.93,4.91,155.08,6.87,10.8,0,1.96,0.98,0,0.98,40.24,0,1.96,3.93,0,0.98
 72-82,0,0,0,22.58,0.98,404.44,0,3.93,4.91,166.88,0.98,0.98,2.94,0,0.98,9.82,4.91,0,436.84,0.98,3.93,16.69,267.01,10.8,27.49,0,2.94,0,0.98,0,20.61,0.98,3.93,6.87,5.89,6.87
 84-94,0,0,0,23.36,0,396.14,0,7.43,1.06,94.52,2.12,0,3.19,1.06,0,23.36,6.37,1.06,310.11,0,6.37,8.5,161.43,3.19,52.04,0,2.12,4.25,0,0,19.12,0,9.56,5.31,5.31,3.19
 96-106,1.09,0,1.09,36.06,1.09,336.6,1.09,4.37,4.37,111.47,4.37,0,6.56,2.19,0,17.49,6.56,0,288.51,2.19,3.28,4.37,182.51,9.84,53.55,0,3.28,4.37,0,1.09,9.84,1.09,6.56,3.28,6.56,3.28
108-118,0.77,0,0,22.21,1.53,230.55,0,12.26,2.3,96.51,2.3,0,3.06,0.77,2.3,34.47,4.6,0.77,238.98,0,3.06,11.49,157.79,4.6,42.89,0,3.83,2.3,0,1.53,4.6,1.53,3.06,3.83,7.66,9.19
120,0,0,0,17.64,0,199.9,0,3.92,0,96.03,0,0,3.92,0,1.96,7.84,7.84,1.96,141.1,0,0,9.8,176.38,5.88,39.2,0,1.96,1.96,1.96,0,9.8,1.96,5.88,9.8,0,3.92
