stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,13.18,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,1,0,4,0,0,5,0,1,0,0
 24-34,0,0,0,5.75,0,0,13.13,0,0.82,0,0
 36-46,0,0,0,1.61,0.81,0,4.83,0,0,0.81,0
 48-58,0,0,0,5.74,0.57,0,5.16,0,0,0.57,0
 60-70,0,0,0.98,3.93,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,2.19,0,0,0,0
108-118,0,0,0,3.83,0.77,0,2.3,0,0,0,0.77
120,0,0,0,1.96,0,0,7.84,0,0,0,1.96
