stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,8,0,0,0,0,0,1,0,0,17,1,0,0,0,0,0,2,3,2,20,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,4.93,0,0,0,0.82,0,4.93,0,1.64,20.52,0,3.28,0.82,0,0,0,0,3.28,0.82,9.03,0,0,1.64,0
 36-46,0,0,0,0,1.61,0,1.61,0,0,0,0,0,0.81,0,0,16.11,0,5.64,1.61,0,0,0,0,6.45,0,9.67,0,0,0.81,0
 48-58,0,0,0,0.57,2.87,0,2.87,0,0,0,1.15,0,1.15,0,0.57,9.18,0,3.44,0.57,0,0,0,0,1.72,0,6.89,0,0,0,0
 60-70,0,0,0,0.98,2.94,0,3.93,0,0,0,0.98,0,0.98,0.98,0.98,19.63,0,8.83,2.94,0,0,0.98,0,1.96,0,3.93,0,0,0,0
 72-82,0,0,0,0.98,6.87,0,20.61,0,0,0.98,3.93,0,8.83,0,0,32.39,0,46.14,5.89,0,0,0,0,0,0,7.85,0,0,0,0
 84-94,0,0,0,1.06,8.5,1.06,8.5,0,0,0,1.06,0,2.12,0,0,9.56,0,19.12,6.37,0,1.06,0,0,0,0,6.37,1.06,0,0,0
 96-106,0,0,1.09,0,3.28,0,9.84,0,0,0,5.46,0,3.28,1.09,0,14.21,0,53.55,13.11,0,0,0,0,0,0,6.56,0,1.09,0,2.19
108-118,0,0,0,0,4.6,0.77,17.62,0.77,0,0,0.77,0.77,2.3,0,0,9.19,0,32.94,1.53,0,0,0,0,1.53,0,3.06,0,0,0,0
120,0,0,0,3.92,11.76,0,11.76,0,0,0,5.88,0,5.88,0,11.76,17.64,0,25.48,5.88,0,0,0,0,0,0,3.92,0,0,0,0
