stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,32.83,0,0,2.46,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,4.03,0,0,0,8.06,0.81,0,4.03,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,2.3,0,0,1.15,2.87,0,0,1.72,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0,0.98,0,0,5.89,0,0,0.98,2.94,0,0.98,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,7.85,0.98,0,0,3.93,0,0,7.85,0,0,0,0,14.72,0,0,0.98,12.76,0,0,0,0,0,0,1.96,0.98,1.96,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,3.19,0,0,0,0,12.74,0,0,0,5.31,0,1.06,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,2.19,2.19,14.21,1.09,0,1.09,9.84,3.28,0,21.86,0,1.09,1.09,0,25.14,0,2.19,3.28,18.58,0,0,3.28,9.84,1.09,0,2.19,1.09,3.28,2.19,1.09
108-118,0,0,4.6,1.53,1.53,13.02,2.3,0.77,0,4.6,0,0.77,19.15,2.3,0,0,2.3,26.81,0.77,0.77,2.3,34.47,0,1.53,1.53,4.6,0,0,0,0,12.26,0.77,0
120,0,0,7.84,5.88,0,7.84,1.96,0,0,5.88,1.96,0,52.91,0,0,0,0,27.44,0,1.96,1.96,41.16,0,0,1.96,1.96,0,0,0,0,3.92,1.96,0
