stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,5.26,5.26,0,0,0,10.51,0,2.63,0,0,68.35,2.63,15.77,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,47.2,0,15.73,0,9.44,0
 14-21,0,0,0,1,1,0,1,0,0,2,1,13,0,0,1,0,2
 24-34,0,0,0,0,0,0,0,0,0,2.46,0.82,8.21,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0.57,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.19,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0.77,0,0.77,0,0,0,0,0
