stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,126.18,15.77,0,2.63,0,0,0,73.6,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,389.05,144.58,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,22.03,0,0,0,166.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180.11,327.28,0,0,195.11,3.15,0,0,6.29,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,5,5,62,6,0,172,0,0,58,2,2,2,0,0,0,0,0,0,4,0,0,9,887,512,6,4,15,0,0,17,129,69,479,549,0,0,13,0,0
 24-34,0,0,4.93,0,22.16,0,0,102.61,0,0,71.41,0,0,1.64,0,3.28,0,4.1,0,0,4.1,0,0,7.39,1032.64,180.59,7.39,14.78,0.82,2.46,0,0,73.06,5.75,48.43,478.56,0,0,29.55,0,0
 36-46,0,0,1.61,0,6.45,0.81,0,111.18,0,0.81,70.9,0,0,4.03,0,0,0,1.61,0,0.81,6.45,0.81,0,4.03,825.81,111.99,4.83,7.25,0,0,0,0,35.45,0,0,392.36,0,0,9.67,0,0
 48-58,0.57,0,1.15,0,5.16,0,0,160.67,0,0,89.51,0,0,0.57,0,0,0,1.15,0,0,0.57,0,0,0,437.24,53.94,2.3,6.31,0,0.57,0,0,22.95,0,0,239.85,0,0,7.46,0,0.57
 60-70,0,0,0,0,9.82,0,0,143.3,0,0.98,72.63,0,0,0,0.98,0,0.98,0.98,0,0,3.93,0,0,0,294.46,34.35,1.96,13.74,0,0,0,0,14.72,0,0,94.23,0.98,0,7.85,0,0
 72-82,0,0,0.98,0.98,5.89,0,0,93.26,1.96,0,85.4,0.98,0,1.96,0.98,0,0,3.93,0,0,8.83,0,0.98,2.94,238.54,22.58,5.89,19.63,0,0.98,0.98,0,26.5,0,0,52.03,1.96,0,14.72,0.98,0
 84-94,1.06,0,4.25,0,9.56,0,1.06,71.16,0,0,50.98,0,0,1.06,0,0,1.06,3.19,0,0,6.37,0,1.06,1.06,121.07,36.11,5.31,12.74,0,0,0,0,56.29,0,0,24.43,2.12,1.06,7.43,0,0
 96-106,0,0,1.09,1.09,6.56,0,0,77.59,0,0,34.97,2.19,0,1.09,0,0,0,5.46,1.09,0,5.46,0,1.09,0,110.38,19.67,13.11,12.02,0,1.09,2.19,0,40.44,0,0,13.11,0,0,7.65,0,0
108-118,0,0,0.77,0.77,6.13,0,1.53,88.09,0,0,32.94,2.3,0,0,0,1.53,1.53,1.53,0.77,0,8.43,0,0,3.83,126.38,20.68,7.66,12.26,0,1.53,0,0,45.19,0,0,7.66,0.77,0,9.19,0,0
120,1.96,0,0,0,3.92,0,1.96,45.08,0,0,19.6,0,0,0,0,3.92,0,3.92,0,0,3.92,0,1.96,3.92,84.27,19.6,3.92,5.88,0,0,0,0,23.52,0,0,5.88,1.96,1.96,3.92,0,0
