stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,18.88,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,1,0,0,0,1,2,0,2,2,0,0,0,0,0
 24-34,0,0,0.82,0,7.39,2.46,0,2.46,0,0,0,0,0.82,0,0,0,2.46,0,0,4.1,0,0,2.46,21.34,0,0,0,0,0.82,4.93,0,1.64,0,3.28,0,0,1.64,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,7.25,0,0,0.81,5.64,0,0.81,0.81,0,0,6.45,0,2.42,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,2.3,3.44,0,0.57,1.72,5.16,0,0,0,0,0,0,0.57,0,0,10.9,0,0,0.57,8.61,0,1.15,1.72,0,0,1.72,0,2.3,0,1.72,0,0,0.57,0,1.15
 60-70,0,0,0.98,0,4.91,3.93,0,0,2.94,10.8,3.93,0,0.98,0,0,0,0.98,0,0,21.59,0.98,0,1.96,1.96,0,0,1.96,0,0,5.89,0,1.96,0,1.96,0,0,0,0,0.98
 72-82,0,0,1.96,0,0.98,1.96,0,1.96,0.98,5.89,15.71,0,0.98,0,0,0,1.96,2.94,0,24.54,0,0.98,1.96,12.76,0,0,1.96,0,0,6.87,0,12.76,0,2.94,0.98,0,1.96,0,0
 84-94,0,0,2.12,0,6.37,2.12,0,3.19,1.06,5.31,24.43,0,0,0,0,0,0,2.12,0,19.12,0,1.06,1.06,3.19,1.06,0,0,0,0,10.62,0,16.99,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,0,8.74,9.84,1.09,1.09,0,5.46,29.51,0,0,0,2.19,0,2.19,5.46,0,14.21,0,1.09,2.19,5.46,0,2.19,7.65,0,0,6.56,0,26.23,0,2.19,2.19,1.09,0,0,2.19
108-118,0,0,0.77,0,7.66,9.96,0,5.36,1.53,6.13,20.68,0,0,0.77,1.53,0.77,0.77,3.06,0,15.32,0.77,0,1.53,9.19,0,0.77,1.53,0,0.77,9.19,0,9.19,0,0,2.3,0,0,0,0.77
120,0,0,1.96,0,9.8,1.96,0,1.96,0,3.92,33.32,0,0,0,0,1.96,1.96,5.88,3.92,11.76,0,0,0,5.88,0,0,1.96,0,0,7.84,0,5.88,0,0,0,0,0,1.96,0
