stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,13,0,0,0,0,1,1,0,1,2,0,1,0
 24-34,0,0,4.1,0,0,0.82,0,0,0,0,0,2.46,0,0,2.46,35.3,0.82,0,0.82,0,0,0,0.82,0.82,8.21,0,0,0
 36-46,0,0,2.42,0,0,2.42,0,0,0,0,0,3.22,0,0.81,0,18.53,0,0,0,0,1.61,0,0,0,5.64,0,0,0
 48-58,1.72,0,9.18,0,0.57,0.57,0,0,0,0,0.57,1.72,0,0.57,1.15,20.08,0,0,0,0,0.57,0,0,0,2.3,0,0,0
 60-70,0,0,10.8,0,0,1.96,0,0,0,0,0,3.93,0,0.98,0.98,7.85,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,2.94,0,0,1.96,0,0,0,0.98,0,5.89,0,0,0.98,13.74,0,0,0,0,0.98,0,0,0,1.96,0,0,0
 84-94,1.06,0,4.25,0,0,0,0,0,0,0,0,3.19,0,0,2.12,3.19,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,3.28,0,0,2.19,0,1.09,0,0,0,1.09,1.09,0,0,4.37,0,0,0,0,7.65,0,0,0,0,0,0,1.09
108-118,2.3,0,0.77,0.77,0,0.77,0.77,0,0,0,0,2.3,0,0,0,11.49,0,0.77,0,0.77,4.6,0,0,0,0.77,0,0.77,0
120,1.96,1.96,5.88,0,0,0,1.96,1.96,1.96,0,0,3.92,0,0,1.96,11.76,1.96,0,0,0,0,0,0,0,0,1.96,0,0
