stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,448.05,7774.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,1612.09,23905.58,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,588.44,98.07,0,0,239.06,0,232.93,0,0,0,0,0,0,0,0,0,0
  7-9,507.34,425.85,389.05,0,5.26,1122.46,0,0,0,0,354.88,0,0,0,0,0,0,0,0,13327.58,515.23,0,0,5207.48,0,21.03,10.51,0,2.63,0,0,0,0,0,0,0
 10-12,0,50.35,88.12,0,3.15,132.17,0,0,0,0,0,0,0,0,0,0,0,0,0,692.33,47.2,0,0,421.69,0,0,3.15,0,81.82,0,0,0,0,0,0,0
 14-21,0,0,2,10,5,2,0,0,1,1,0,0,0,1,0,0,8,0,10,79,1,0,1,6,0,0,0,14,2,0,9,21,0,0,0,5
 24-34,0,0,0,6.57,0,4.1,0,0,1.64,0,0.82,0.82,0,0,0,0,9.85,0,1.64,58.28,0,0,0.82,0,0,2.46,0,0,0,0,0,13.95,0,0,0,43.51
 36-46,0,0,0,1.61,0.81,4.03,0,0,1.61,0,0,0,0,0,0,0,7.25,0.81,5.64,41.89,0,0,0,0,0,4.03,0,0,0.81,0,0,6.45,0,0,0,65.26
 48-58,0,0.57,0,0.57,0,10.33,0,0.57,1.15,0,0,0.57,0,0,0,0,14.92,3.44,5.16,62.54,0,0.57,0,0,0.57,0.57,0,0,0,0,0,5.16,0.57,0.57,0,69.43
 60-70,0,0,0,0.98,0,10.8,0,0.98,1.96,0,0,0.98,0,0,0,0,30.43,8.83,5.89,84.41,0,0.98,0,0,2.94,0.98,0,0,0,0,0,4.91,7.85,0,1.96,63.8
 72-82,0,0,0,3.93,0.98,26.5,0.98,0.98,10.8,0,0,0.98,0.98,0,0,0,56.94,17.67,2.94,139.4,0,0.98,0,0,6.87,0.98,0,0,0.98,0.98,0,0.98,17.67,0,6.87,40.25
 84-94,0,0,0,2.12,0,22.3,0,0,3.19,0,0,0,1.06,0,2.12,0,19.12,21.24,2.12,60.54,0,0,0,0,1.06,2.12,0,0,0,0,0,2.12,13.81,0,9.56,29.74
 96-106,0,0,0,5.46,1.09,9.84,1.09,0,5.46,0,0,0,2.19,0,1.09,1.09,20.76,6.56,4.37,69.94,0,1.09,0,0,7.65,1.09,0,0,1.09,0,0,3.28,4.37,0,14.21,38.25
108-118,0,0,0,2.3,0.77,4.6,0,0.77,6.13,0,0,0,0,0,0,0,30.64,3.06,2.3,91.92,0.77,0,0,0,9.19,0,0,0,0,0,0,0.77,5.36,0.77,7.66,29.11
120,0,0,0,0,0,5.88,3.92,0,3.92,0,0,3.92,0,0,0,0,47.03,11.76,1.96,162.66,1.96,0,0,0,7.84,1.96,0,0,0,0,0,0,0,0,7.84,13.72
