stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,125.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,1,0,0,1,4,4,0,0,0,0,0,0,9,0,0,6,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,8.21,0,0,0.82,10.67,0,0,0,0,8.21,0,1.64,0,0,0,0.82,9.85,0,0.82,3.28,29.55,0,1.64,0.82,0,0,0,2.46,0,7.39,0,0,1.64,0,0
 36-46,0,0,0,7.25,0.81,0,6.45,8.06,0,0,0,0.81,7.25,0,0,0,0,0,0,23.36,0,1.61,2.42,61.23,0.81,8.06,0.81,0,0,0,0,0,8.86,0,0.81,2.42,0,0
 48-58,0,0,0.57,6.89,0,0,15.49,16.07,0,5.74,0,0,4.59,0,0,0,0.57,0,0,52.22,0,4.02,2.3,53.94,0,2.87,0.57,0,0,0,0,0,16.64,0,0,1.15,0,0
 60-70,0,0,0,21.59,0.98,0,53,20.61,5.89,26.5,0,0,1.96,0.98,0,0,2.94,0.98,0.98,117.78,0,13.74,11.78,49.08,0,3.93,1.96,0,0.98,0.98,0,0,10.8,0,1.96,0.98,2.94,0
 72-82,0,0,0,35.34,0,0,60.86,15.71,1.96,106.02,0,0,4.91,0,1.96,1.96,1.96,0,0,248.36,0,34.36,13.74,99.15,0,7.85,4.91,0,0,0.98,1.96,0,4.91,0.98,14.72,11.78,23.56,1.96
 84-94,0,0,0,77.53,1.06,0,46.73,32.92,2.12,62.66,1.06,0,3.19,0,7.43,2.12,1.06,0,0,151.87,0,35.05,8.5,52.04,0,5.31,6.37,0,0,1.06,2.12,0,6.37,1.06,12.74,15.93,15.93,1.06
 96-106,0,0,0,145.35,3.28,0,64.48,48.09,4.37,124.58,4.37,0,6.56,3.28,3.28,3.28,8.74,1.09,0,255.73,0,43.71,18.58,71.04,0,16.39,10.93,0,3.28,2.19,9.84,0,2.19,0,14.21,17.49,37.16,2.19
108-118,0,0.77,0,132.51,0.77,0.77,46.72,55.15,3.06,110.3,0.77,0,3.83,0.77,4.6,2.3,5.36,0,1.53,279.58,0.77,39.83,13.79,63.57,1.53,11.49,2.3,0,3.83,0,1.53,0.77,3.06,1.53,14.55,12.26,23.74,0
120,0,0,0,64.67,0,0,62.71,27.44,1.96,64.67,1.96,0,0,3.92,1.96,3.92,3.92,0,3.92,205.78,0,29.4,5.88,66.63,0,3.92,0,0,1.96,3.92,3.92,0,0,0,5.88,9.8,23.52,0
