stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,66.09,3.15,0,0,15.73,3.15,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,8,3,9,0,0,1,0,0,0,0,0,0,4,0,1,54,0,0,0,1,1,1,3,1,2,10,0,0,0
 24-34,0,0,0,2.46,0.82,19.7,0,0,2.46,0,0,0,0.82,0,0,6.57,0,3.28,81.26,0,0.82,0.82,0,1.64,0,0,0,0,11.49,0,0,0.82
 36-46,0,0,0,0.81,0,12.89,0,0,0,0,0,0,0,0,0,3.22,0.81,1.61,37.87,0,0.81,0,0,2.42,0,0,0,0,5.64,0.81,0,0.81
 48-58,0,0,0.57,0,0,29.84,0.57,0,2.3,0.57,0,0,0.57,0.57,0.57,2.87,0,1.15,15.49,0,0.57,0,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0.98,0,11.78,0,0,2.94,0.98,0,0.98,0.98,0,0.98,2.94,0,0.98,9.82,0,0.98,0,0,0.98,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,0,0,3.93,0,0,5.89,0.98,0,0,0,0,0,4.91,0,1.96,8.83,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0
 84-94,0,0,0,0,0,13.81,0,1.06,3.19,1.06,0,0,1.06,0,1.06,6.37,1.06,2.12,10.62,0,0,2.12,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,4.37,0,5.46,0,1.09,3.28,1.09,0,0,0,1.09,0,10.93,1.09,0,7.65,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,1.53,0.77,3.06,0,0.77,1.53,0,0,0,0,0,2.3,2.3,0,2.3,11.49,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0,0,0,0,1.96,15.68,0,0,0,0,0,0,0,0,0,0,0,1.96,0
