stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,3505.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,422.94,4701.43,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,91.94,6.13,0,0,49.04,0,98.07,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,68.35,0,118.29,0,0,160.35,0,0,0,0,0,107.78,0,0,0,0,0,0,0,0,0,0,0,1982.05,89.38,0,0,693.98,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,3.15,31.47,0,62.94,0,9.44,135.32,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,1069.97,37.76,0,0,418.55,0,0,3.15,3.15,40.91,0,0,3.15,0,0,0,0
 14-21,0,0,1,3,26,6,9,0,0,0,3,2,0,0,0,0,0,0,0,0,17,0,0,12,208,1,2,0,3,0,0,0,20,0,0,25,51,0,0,0,0
 24-34,0,0,0,1.64,17.24,1.64,43.51,0,1.64,0,9.85,1.64,0,0.82,0.82,0,0,1.64,0.82,0,58.28,0,0,15.6,519.6,4.93,4.1,9.85,0,0,7.39,0,0.82,3.28,1.64,1.64,93.58,0,11.49,0,0
 36-46,0,0,0,0.81,6.45,1.61,76.54,0,1.61,0.81,10.47,0.81,0,0.81,0,0,0,0,3.22,0,29.81,0,0.81,8.06,411.7,0.81,2.42,3.22,0,0,3.22,0,0,0.81,0,0,84.6,0,3.22,0,0.81
 48-58,0,0,0,0,8.03,1.15,136.57,1.15,0.57,2.87,30.41,0.57,0,0.57,1.15,0.57,0.57,1.15,0,0,45.33,0,2.87,10.9,355.19,0.57,0,2.87,0,0.57,3.44,0,0,0,0,0,55.66,0,2.87,0,0.57
 60-70,0.98,0,0,0,11.78,0,171.77,0.98,0.98,0.98,28.46,0.98,0,0,0,0,2.94,0,0.98,0,48.09,0.98,4.91,6.87,330.77,0.98,0.98,3.93,0,0,6.87,0,0,0.98,0,0,38.28,0.98,2.94,0,0
 72-82,0,0,2.94,0,9.82,0.98,114.85,0.98,0.98,2.94,28.47,1.96,0,0,0,0,0,1.96,0.98,0,50.06,0.98,2.94,10.8,263.09,0.98,1.96,3.93,0,0,5.89,0,0,0.98,0,0,27.49,0.98,3.93,0.98,0.98
 84-94,0,0,0,0,15.93,1.06,103.02,0,2.12,0,31.86,11.68,0,1.06,1.06,1.06,1.06,1.06,1.06,0,50.98,0,5.31,8.5,150.81,1.06,1.06,3.19,0,0,22.3,0,0,2.12,0,0,18.05,0,4.25,0,0
 96-106,0,0,0,0,6.56,1.09,32.79,0,0,2.19,14.21,1.09,0,1.09,1.09,1.09,0,2.19,0,0,42.62,0,2.19,10.93,74.31,0,1.09,0,0,1.09,4.37,0,0,0,0,0,5.46,1.09,2.19,1.09,1.09
108-118,0,0,0.77,0,13.02,1.53,45.96,0.77,1.53,2.3,15.32,1.53,0,0,2.3,0,1.53,1.53,0,1.53,34.47,1.53,2.3,9.96,108.77,1.53,1.53,4.6,0,0,7.66,0,0,1.53,0.77,0,3.06,0,2.3,1.53,1.53
120,0,0,1.96,0,45.08,1.96,54.87,0,1.96,1.96,48.99,5.88,0,1.96,3.92,1.96,3.92,0,0,0,68.59,0,1.96,19.6,209.7,0,0,15.68,0,1.96,25.48,0,0,0,0,0,19.6,1.96,13.72,3.92,0
