stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,6.29,0,0,3.15,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,16,1,7,0,0,0,3,2,0,0,12,1,0,0,0,0,8,0,0,9,111,1,3,0,2,0,1,9,0,0,5,33,0,0,2,0,0
 24-34,0,0,0.82,0,4.1,0,20.52,0,0,0.82,4.1,0.82,0,0,53.36,0,0,0,0,0.82,15.6,0,0.82,4.93,199.47,2.46,0.82,4.1,0,0,4.93,0,0.82,0,3.28,57.46,0,0,6.57,0,0
 36-46,0,0,0,0,4.03,0,36.26,0,0,0.81,7.25,0,0,0.81,74.12,0.81,0,1.61,0,0,29,0.81,1.61,6.45,315.82,0.81,1.61,0,0,0,1.61,0,0,0,0,64.45,0,0,5.64,0,0
 48-58,0,0,0,0,1.72,0,68.86,0.57,1.72,1.15,10.9,0.57,0,0.57,104.43,0,0.57,0.57,0,2.87,28.69,0,0,6.31,226.08,1.15,0.57,1.15,0,0,1.72,0,0,1.15,0,48.77,0,0.57,5.16,0,0
 60-70,0,0,0.98,0,2.94,0,147.23,0,0.98,0.98,14.72,1.96,0,0,113.86,0,0,0,0,0.98,29.45,0,0.98,4.91,239.49,0.98,0,3.93,0,0,8.83,0,0.98,0,0,24.54,0.98,0.98,1.96,0,0.98
 72-82,0,0,0,0,4.91,0,59.88,0.98,0.98,5.89,10.8,0,0,0.98,140.38,0,0.98,2.94,0,0,42.21,0.98,0.98,0.98,118.78,0,0.98,1.96,0,0.98,3.93,0,0,0,0,6.87,0,0.98,8.83,0,1.96
 84-94,0,0,0,0,3.19,1.06,47.79,1.06,1.06,0,8.5,2.12,1.06,0,198.6,2.12,0,0,0,0,32.92,3.19,1.06,1.06,54.16,0,0,1.06,0,0,19.12,0,0,1.06,0,7.43,1.06,3.19,6.37,0,0
 96-106,0,0,0,0,2.19,3.28,34.97,0,0,2.19,1.09,0,0,0,230.59,1.09,0,2.19,0,0,16.39,1.09,1.09,0,40.44,0,0,4.37,0,0,14.21,0,1.09,0,0,1.09,0,0,8.74,2.19,0
108-118,0,0,0.77,0,5.36,0.77,20.68,0,1.53,0,7.66,3.06,0,0,173.11,0,1.53,0,0,0,14.55,0,0.77,1.53,46.72,0.77,0,1.53,0,0,6.13,0,0,0,0,2.3,0,0.77,3.83,0,0
120,0,0,0,0,7.84,0,19.6,0,0,0,1.96,0,0,0,221.46,0,0,0,1.96,0,11.76,0,1.96,0,48.99,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,0,0
