stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,919.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,12.26,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,110.41,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,1,0,0,0,0,5,1,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,5.75,0.82,0,1.64,0.82,0,0,2.46,10.67,0.82,0.82,0.82,2.46,2.46,2.46,0,0.82,14.78,0,0,0,0,0,41.86,0,1.64,0,0.82,5.75,0,0,2.46,0,2.46
 36-46,0,0,0,0,3.22,1.61,0,4.03,1.61,0.81,0,0,0,0,3.22,0.81,0.81,0,1.61,0.81,4.83,0.81,0,1.61,9.67,0,0.81,0.81,0,0,36.26,0,0.81,0,0,4.83,0,0,5.64,0,2.42
 48-58,0,0,0,0,1.72,0,0,3.44,0.57,0,2.87,0.57,1.15,0,1.72,0,0,0.57,0.57,0.57,5.74,0.57,0,2.3,4.02,0,0,0,0,0.57,13.77,0,0.57,0,0,1.15,0,0,6.31,0,0
 60-70,0,0,0,0,5.89,0,0,6.87,1.96,0.98,6.87,3.93,0,0,4.91,0,0,0,2.94,0,9.82,0,0,1.96,6.87,0,1.96,0,0,0.98,31.41,0,2.94,0,0,0.98,0,0,5.89,0,0
 72-82,0,0,0.98,0,1.96,0.98,0,6.87,0.98,2.94,6.87,3.93,0,0,3.93,1.96,0,0,1.96,0.98,18.65,4.91,0,1.96,18.65,0,0,0,0,0,31.41,0,4.91,0,0,0.98,0,0.98,6.87,0.98,0.98
 84-94,0,0,1.06,0,8.5,2.12,0,8.5,1.06,1.06,4.25,6.37,0,1.06,10.62,2.12,0,0,0,0,9.56,4.25,1.06,1.06,8.5,2.12,1.06,1.06,0,1.06,78.59,0,13.81,0,0,0,1.06,0,7.43,2.12,0
 96-106,0,0,0,0,9.84,5.46,0,3.28,0,1.09,4.37,8.74,0,0,12.02,4.37,0,0,1.09,1.09,20.76,2.19,0,1.09,12.02,0,0,0,0,1.09,67.76,0,2.19,0,0,2.19,0,0,5.46,0,3.28
108-118,0,0,0.77,0,18.38,1.53,3.06,6.13,3.06,0,3.06,14.55,0,0,9.19,3.06,0.77,0.77,1.53,0,13.02,1.53,0,0,8.43,0.77,2.3,0.77,0,0.77,53.62,0,3.06,0.77,0,0.77,1.53,0,4.6,0,1.53
120,0,0,0,0,35.28,1.96,3.92,13.72,1.96,0,11.76,48.99,0,0,27.44,5.88,0,0,5.88,0,9.8,3.92,1.96,0,19.6,0,3.92,1.96,0,0,94.07,0,9.8,0,0,1.96,1.96,0,11.76,0,0
