stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,40,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,1,0,0
 24-34,0,0,53.36,0,0,0,0,0,0,0,0,0.82,0,0,0,5.75,0,0,0.82,0.82,1.64,0,0
 36-46,0,0,24.17,0,0.81,1.61,0,0,0,0,0,0.81,0,0,0,5.64,0,0,0.81,0,0.81,0,0
 48-58,0,0,20.08,0,2.3,2.87,0,0,0,0,0,0.57,0,0,0,7.46,0,0,0,0,0.57,0,0
 60-70,0,0,25.52,0,0.98,2.94,0,0.98,1.96,0,0,0.98,0.98,0,0,7.85,0,0,0,0,0.98,0,0
 72-82,0,0,30.43,0,2.94,0.98,0,1.96,6.87,0,1.96,3.93,1.96,0,0,6.87,0.98,0,0.98,0,0.98,0,0
 84-94,0,0,44.61,0,1.06,4.25,0,0,11.68,1.06,0,3.19,0,0,0,5.31,0,0,0,0,0,0,0
 96-106,0,0,33.88,0,1.09,4.37,1.09,0,15.3,1.09,0,2.19,0,0,0,6.56,0,0,1.09,0,0,0,2.19
108-118,0,0.77,45.96,0,0,0.77,0,0,16.85,0,2.3,2.3,0,1.53,0.77,5.36,0,0.77,0,0,0,0.77,0
120,0,0,52.91,1.96,0,5.88,0,1.96,31.36,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0
