stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,1410.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,956.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,67.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,13.14,0,26.29,0,0,36.8,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,378.53,26.29,0,0,147.21,0,7.89,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,53.5,0,3.15,62.94,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,799.33,56.65,0,0,198.26,0,0,0,0,34.62,0,0,3.15,0,0,0,0,0
 14-21,0,0,5,16,201,47,42,0,2,0,43,12,3,2,1,15,2,1,0,14,78,1,0,52,529,80,2,20,14,0,36,6,64,48,8,72,260,0,0,9,0,3
 24-34,0,0,2.46,3.28,38.58,4.1,80.44,0,6.57,3.28,50.89,2.46,0.82,4.1,4.1,18.88,0,6.57,3.28,15.6,87.01,0.82,0,53.36,752.73,15.6,14.78,14.78,0,0,56.64,0,0.82,19.7,0.82,13.95,244.62,0,0,37.76,0,11.49
 36-46,0,0,0,0,23.36,1.61,142.6,0,4.03,7.25,99.9,1.61,0,5.64,0.81,2.42,2.42,9.67,1.61,4.83,112.79,2.42,2.42,45.92,555.11,8.06,8.06,8.06,0,0.81,51.56,0,0,9.67,0.81,0.81,219.14,0,0.81,19.34,0,12.09
 48-58,1.15,0,0,0,13.77,0,258.21,1.15,8.03,10.33,210.59,0,0,8.61,4.59,3.44,5.74,9.75,1.15,2.87,188.21,1.15,6.31,39.59,261.08,2.87,4.59,12.05,0,0.57,63.12,0,0,3.44,0,0,206,0,1.72,25.82,0,12.62
 60-70,0,0,0,0,28.46,2.94,178.64,2.94,11.78,6.87,304.27,3.93,0.98,3.93,2.94,5.89,5.89,7.85,1.96,0.98,238.51,2.94,13.74,20.61,135.45,1.96,3.93,13.74,0,1.96,96.19,0,0,6.87,0,0,81.47,0.98,4.91,15.7,1.96,11.78
 72-82,0,0,5.89,0,34.36,6.87,149.21,0.98,10.8,15.71,326.89,17.67,0,14.72,8.83,14.72,7.85,11.78,1.96,0.98,324.93,6.87,10.8,30.43,145.29,0.98,14.72,27.49,0,1.96,87.37,0,0,3.93,0,0,34.36,6.87,9.82,35.34,8.83,7.85
 84-94,0,0,4.25,1.06,65.85,5.31,142.31,1.06,12.74,16.99,215.59,25.49,1.06,3.19,20.18,29.74,21.24,15.93,4.25,3.19,214.53,6.37,20.18,29.74,106.2,8.5,24.43,32.92,0,1.06,379.15,0,0,10.62,2.12,0,41.42,9.56,8.5,13.81,5.31,8.5
 96-106,0,0,9.84,0,99.45,9.84,110.38,4.37,17.49,8.74,167.21,42.62,0,10.93,25.14,30.6,19.67,19.67,4.37,0,173.76,8.74,9.84,21.86,96.17,1.09,16.39,39.34,0,2.19,324.58,0,0,6.56,2.19,0,30.6,8.74,9.84,34.97,17.49,13.11
108-118,0,0,3.83,0,85.02,1.53,89.62,0.77,23.74,7.66,140.17,23.74,0,1.53,18.38,19.15,17.62,10.72,6.13,2.3,111.06,7.66,9.19,16.09,95.75,3.83,19.92,18.38,0,0.77,224.43,0,0,9.96,0.77,0,12.26,13.02,5.36,28.34,9.96,9.19
120,0,0,3.92,0,54.87,7.84,54.87,1.96,7.84,7.84,78.39,21.56,0,0,13.72,17.64,9.8,7.84,3.92,1.96,64.67,7.84,1.96,11.76,60.75,5.88,13.72,13.72,0,1.96,156.78,1.96,0,3.92,0,0,7.84,5.88,5.88,13.72,1.96,1.96
