stage,blastomeres,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,10.51,2.63,0,5.26,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,12.59,0,0,15.73,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,4.93,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0,2.42,0
 48-58,0,1.15,0,0.57,0,0,1.15,0,0.57,2.3,0,0.57,0,0,0.57,0.57
 60-70,0,0,0,0.98,0,0,0,1.96,0,2.94,0,0,0,0,0,0
 72-82,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
