stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,22,0,0,0,1,0,0,0,2,1,0,0,1,3,4,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,9.03,0,0,0.82,0,0.82,0,0,12.31,0,0,0,0,9.03,1.64,0.82,0
 36-46,0,0,0,1.61,0,0,1.61,0,0,0,0.81,0,0,0,1.61,0,0,0,29,0,0,0,0,8.86,4.03,0,0
 48-58,0,1.72,0,5.74,0,0.57,2.3,0,0,0,3.44,0,0,0,16.07,0,0,0.57,29.26,0,0,0,0,2.87,2.87,0,0
 60-70,0,1.96,0,3.93,0,0,6.87,0,0,0,1.96,0,0,0,28.46,0,0,0.98,52.02,0,0,0,0,2.94,6.87,0.98,0
 72-82,0,1.96,1.96,7.85,0,0,23.56,0,0,0.98,12.76,0.98,0,0,54.97,0.98,0,0.98,89.33,0,0,0,0.98,4.91,6.87,1.96,0.98
 84-94,0,8.5,0,9.56,0,1.06,16.99,0,0,0,9.56,1.06,0,0,28.68,0,1.06,0,55.23,0,0,0,3.19,4.25,6.37,2.12,0
 96-106,0,6.56,0,3.28,0,1.09,22.95,1.09,0,0,7.65,1.09,0,0,34.97,0,0,3.28,59.01,0,0,0,0,0,9.84,1.09,0
108-118,0,20.68,0,3.83,1.53,0,21.45,0.77,0,0,3.06,0,0,0,35.23,0.77,0,1.53,80.43,0,1.53,0,0.77,3.06,6.13,0,0
120,0,23.52,0,3.92,0,0,9.8,3.92,0,1.96,3.92,1.96,1.96,0,39.2,0,0,3.92,103.87,0,3.92,0,0,9.8,1.96,0,0
