stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,37.76,22.03,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,49,3,0,1,0,0
 24-34,0,0,0,0,4.93,1.64,0,0,0,0.82,0,0,0,0,3.28,1.64,1.64,0.82,0.82,5.75,0,0,0,0,35.3,0,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,0,0,0,0,0,2.42,0.81,0.81,0,0,3.22,0,0,0,0,14.5,0,0,1.61,0,0.81
 48-58,0,0,0,0,1.72,0,1.72,0,0,0.57,0.57,0,0,0,0,3.44,0.57,0.57,0.57,8.03,0.57,0.57,0,0,9.75,0,0,2.3,0,0
 60-70,0,0,0,0,2.94,0,5.89,0,0,0,3.93,0,0.98,0,0,1.96,1.96,0,0,4.91,0,0.98,0,0,10.8,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,3.93,0,0,0.98,61.84,0,0,0,0,2.94,0.98,0,0,18.65,0,3.93,0,0,14.72,0,0.98,0,0,0.98
 84-94,0,0,0,0,0,0,7.43,0,0,0,134.88,0,0,0,2.12,2.12,4.25,0,2.12,8.5,0,0,0,0,14.87,0,3.19,0,0,0
 96-106,0,0,3.28,0,2.19,1.09,8.74,0,0,0,246.98,0,0,2.19,4.37,5.46,1.09,0,0,26.23,0,0,0,0,25.14,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0.77,3.06,0.77,1.53,1.53,344.68,0,0,0,0.77,13.79,4.6,0,0,36,0,0.77,0.77,0,13.02,0,3.06,0,0,1.53
120,0,0,1.96,0,1.96,0,7.84,0,0,0,156.78,0,0,0,1.96,3.92,1.96,0,0,35.28,0,1.96,0,0,9.8,0,0,0,0,0
