stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.12,0,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,3.15,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,31.47,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,44,1,0,0,0,0,0,0,4,1,0,4,18,0,0,0
 24-34,0,0,0,0,2.46,0,0,4.93,0,0,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0,64.85,0,1.64,0.82,0,0,2.46,0,0,0,0,0.82,16.42,0,0.82,0
 36-46,0,0,0,0,0,0,0,8.86,0,0.81,2.42,0,0,0,0,0,0,0,0,0.81,4.83,0,0.81,67.68,0.81,0,0,0,0,1.61,0,0,0,0,0,12.89,0,0,0
 48-58,0,0,0,0,0.57,0,0,12.05,0.57,0.57,5.16,0,0,0,0,0,0,0.57,0,0,6.89,0,1.72,53.94,0.57,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0
 60-70,0,0,0,0,0,0,0,21.59,0.98,0,1.96,0,0,0,0,0,0,0,0,0,5.89,0,0,48.09,0.98,0,0,0,0,0.98,0,0,0,0,0,9.82,0,0.98,0
 72-82,0,0,0,0,1.96,0,0.98,18.65,0,0.98,4.91,0,0,0.98,0,0,0,0,0,0,16.69,0,0,43.19,0,0,0,0,0,1.96,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,20.18,0,0,6.37,0,1.06,0,1.06,0,2.12,0,1.06,0,8.5,0,0,28.68,0,3.19,1.06,0,0,1.06,0,0,1.06,1.06,0,4.25,0,1.06,0
 96-106,0,0,2.19,0,4.37,0,0,12.02,0,1.09,3.28,0,0,0,0,1.09,0,0,0,0,5.46,1.09,1.09,21.86,0,1.09,0,0,0,1.09,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,2.3,0,0,9.96,0,0.77,4.6,0.77,0,0.77,0,0,1.53,0,0.77,0,3.06,0,0,19.15,0.77,1.53,2.3,0,0.77,2.3,0,0,0,0,0,1.53,0,0,0.77
120,0,0,0,0,0,1.96,0,15.68,0,0,5.88,0,0,0,0,0,0,0,0,0,9.8,0,0,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
