stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,34.17,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,18.88,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0.82,1.64,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,3.22,0,0.81,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,3.44,0,0,1.15,0,0,0,0,0.57,0,0.57,1.15,0.57,0.57,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,8.83,0,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0.98,3.93,0.98,0,0,3.93,0,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,4.25,1.06,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,3.28,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0
