stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,1,4,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,2.46,0,0,2.46,0,0,0,1.64,0,0,3.28,0,0,0.82,29.55,0,0.82,0,0,4.1,0,0,0,0,4.93,0,0,2.46,0
 36-46,0,0,0,0,0,0,3.22,0.81,0.81,0,0,0,0,0.81,0,1.61,4.03,0,0,0.81,33.03,0,0,0,0,4.83,0,0,0,0,6.45,0,0,1.61,0
 48-58,0,0,0,0,1.72,0,3.44,0.57,0,3.44,0,0,0.57,0,0,0,4.02,0,0,0.57,13.77,0.57,0.57,0,0,1.72,0,0,0,0,5.16,0,0,0,0
 60-70,0,0,0.98,0,3.93,0,5.89,0,0,1.96,0,0.98,0.98,0.98,0.98,0,3.93,0.98,0,0,23.56,0,1.96,1.96,0,0.98,0,0,0,0,6.87,0,0,1.96,0
 72-82,0,0,0,0,1.96,0.98,5.89,0.98,0,3.93,0.98,0,0.98,0,0,0,11.78,0,1.96,0,21.6,0,0,0.98,0,1.96,0,0,0,0,1.96,0,0,1.96,0
 84-94,0,0,0,0,3.19,0,3.19,0,1.06,6.37,4.25,0,0,2.12,2.12,1.06,2.12,0,0,2.12,8.5,0,1.06,2.12,0,3.19,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,1.09,0,1.09,0,5.46,0,1.09,2.19,0,0,0,1.09,0,0,2.19,0,0,0,5.46,0,0,1.09,0,2.19,0,0,1.09,0,1.09,1.09,0,1.09,1.09
108-118,0,0,0,0,3.83,0,3.06,0,0.77,5.36,1.53,0,0.77,0.77,0,0,5.36,0.77,0,0.77,11.49,0,2.3,0,0,3.06,0,0,0,0,0,1.53,0,1.53,0
120,0,0,0,0,7.84,0,1.96,1.96,0,1.96,0,0,1.96,0,0,0,9.8,0,0,0,13.72,0,1.96,0,0,9.8,0,0,0,0,0,0,1.96,0,0
