stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,10,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,16,3,1,0,1,0,0,0,0,2,15,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,2.46,0,0,0.82,1.64,0,0.82,0,0,0,0,0,0,8.21,0,3.28,47.61,0,0.82,0,0,0.82,0,0,0,0,15.6,0,0,0,0
 36-46,0,0,0.81,0.81,0.81,0,0,6.45,0,1.61,4.03,0,0.81,0,0,0,0,0,0,0,9.67,0,0.81,54.79,0,0.81,0,0,0,0,0,0,0,14.5,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,8.61,0,1.72,2.3,0,0,0,0,0,0,0,0,0,15.49,0,1.15,28.12,0,0,0.57,0,0,0,0,0,0,5.74,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,9.82,1.96,4.91,2.94,0.98,0,0,0,0,1.96,0,0.98,0,29.45,0,4.91,63.8,0,0,1.96,0,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0.98,0,2.94,0.98,0,41.23,1.96,11.78,7.85,5.89,1.96,0,0,0.98,3.93,0,0,0.98,59.88,0,2.94,121.73,0.98,0.98,0,0,0.98,0,0.98,0,0,7.85,0,0,0.98,1.96
 84-94,0,0,0,0,2.12,0,0,14.87,0,13.81,3.19,2.12,0,0,0,0,3.19,0,1.06,0,38.23,0,2.12,49.92,0,0,0,0,1.06,0,0,0,0,6.37,0,0,1.06,2.12
 96-106,0,0,0,0,3.28,0,0,32.79,2.19,5.46,9.84,5.46,0,0,3.28,0,6.56,1.09,1.09,0,44.81,2.19,12.02,102.73,0,3.28,0,0,3.28,0,0,1.09,0,3.28,0,0,0,2.19
108-118,0,0,0.77,0,1.53,0,0,14.55,2.3,6.89,5.36,3.06,0,0,0.77,0.77,10.72,0,0,0,36.77,0.77,6.13,92.68,0,0,0,0,0,0,0.77,0,0,2.3,0.77,0.77,0,3.06
120,0,0,0,0,3.92,0,1.96,3.92,0,1.96,5.88,5.88,0,0,3.92,0,5.88,0,1.96,0,25.48,1.96,13.72,80.35,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0
