stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,30.65,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,7.39,0.82,0,0,0.82,0.82,6.57,0,0.82,0,0,0,0.82,0,4.93,0
 36-46,0,0,0,0,0.81,1.61,0,0,0,0,6.45,0,0,0,0.81,0.81,31.42,0,0.81,0,0,0,0,7.25,1.61,0
 48-58,0,0,0,1.15,0,2.87,0,0,0.57,0,10.9,1.15,0.57,0.57,2.87,0.57,39.02,0,0,0,0,0.57,2.87,6.31,3.44,0
 60-70,0,0,0,0.98,0,7.85,0.98,0.98,0,0.98,20.61,0,0,0,1.96,0,127.6,0,0,0,0,0,1.96,4.91,4.91,0
 72-82,0,0,0,0,0,24.54,0,2.94,5.89,0,21.6,0.98,0,0,2.94,0.98,157.07,0,0,0,0,0,1.96,9.82,4.91,0.98
 84-94,0,0,0,0,1.06,14.87,0,0,3.19,0,50.98,3.19,0,1.06,1.06,0,69.03,0,1.06,0,0,2.12,6.37,10.62,2.12,0
 96-106,0,0,0,0,3.28,15.3,1.09,0,3.28,0,60.11,2.19,0,0,3.28,1.09,65.57,0,1.09,0,0,0,6.56,5.46,10.93,0
108-118,0,0,0.77,1.53,3.83,6.89,0.77,0,2.3,0,51.32,2.3,0,0,3.06,1.53,85.02,0.77,0.77,0,0,0,2.3,0.77,7.66,0
120,0,0,0,5.88,0,9.8,0,0,1.96,0,72.51,5.88,0,0,3.92,1.96,94.07,0,0,1.96,0,0,11.76,5.88,5.88,0
