stage,axial,epidermis,eye,fin_mesenchyme,lateral_line,mesenchyme,muscle,neural,otic,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,1,0,0,1
 24-34,0,0,0,0,0,0,0,1.64,1.64,0
 36-46,0,0,0,0,0,0,0,3.22,1.61,0
 48-58,0,0,0,0.57,1.15,0,0,4.02,2.3,1.15
 60-70,0,0.98,0,0,3.93,0,0,2.94,1.96,0
 72-82,0,0,0,0,0.98,0,0,0.98,8.83,0
 84-94,0,0,0,1.06,2.12,1.06,0,0,8.5,0
 96-106,0,0,0,0,7.65,0,0,1.09,12.02,0
108-118,0,0,0.77,0,3.83,0,0,0,6.13,0
120,0,1.96,1.96,0,9.8,1.96,0,0,5.88,0
