stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,6,0,0,5,0,0,0,2,1,2,0,0,0,0,0,0,8,0,0,5,61,1,1,0,0,13,0,8,1,37,21,15,0,0,0,0,0
 24-34,0,0.82,0,9.03,0.82,0,20.52,157.6,1.64,0.82,4.93,0,5.75,0.82,0.82,0,0,0,0,22.16,0,0,24.63,192.9,0.82,0.82,0.82,0,26.27,0,0.82,2.46,113.28,54.18,45.15,0,0,4.1,0,0.82
 36-46,0,0,0.81,8.06,0,0,36.26,393.97,2.42,1.61,9.67,0,0,0,0,0.81,0,0.81,0.81,17.72,0,0,19.34,202.22,3.22,3.22,0.81,0,11.28,0.81,0,0.81,128.91,3.22,35.45,0,0,2.42,0,2.42
 48-58,0,0,0,5.74,0.57,0,100.42,379.86,1.72,1.72,21.8,0,2.3,1.15,0.57,0.57,1.72,1.72,2.87,44.76,0,2.3,18.36,246.74,2.3,2.3,2.87,0,16.07,0,0,0.57,113.61,0,51.07,0,0,4.59,0,6.89
 60-70,0,0,0,10.8,2.94,0,105.02,275.81,2.94,0,19.63,0,0.98,0.98,0,0.98,0.98,0,2.94,51.04,0.98,0.98,17.67,181.58,1.96,2.94,0,0,20.61,0,0,0,79.5,0,19.63,0,0,7.85,0,1.96
 72-82,0,0.98,0,5.89,10.8,0,88.35,167.86,0.98,3.93,44.17,2.94,0.98,2.94,0,1.96,2.94,0,1.96,73.62,0,6.87,17.67,166.88,0,0.98,4.91,1.96,31.41,0,0,0.98,38.28,0,21.6,0.98,2.94,8.83,2.94,4.91
 84-94,1.06,1.06,0,12.74,9.56,0,42.48,238.96,2.12,2.12,20.18,1.06,0,3.19,1.06,0,0,1.06,1.06,46.73,3.19,5.31,14.87,89.21,1.06,1.06,4.25,0,108.33,0,0,0,61.6,0,4.25,0,3.19,1.06,2.12,3.19
 96-106,0,0,0,10.93,9.84,1.09,56.83,225.13,3.28,1.09,16.39,3.28,2.19,5.46,1.09,0,1.09,5.46,0,45.9,0,1.09,21.86,65.57,1.09,1.09,5.46,3.28,97.26,0,0,0,51.36,0,5.46,0,0,7.65,4.37,3.28
108-118,0,0.77,0,11.49,3.06,0,39.83,183.07,3.06,0.77,18.38,1.53,0,3.83,3.83,1.53,0,3.06,0,38.3,3.83,4.6,27.57,67.4,0,0.77,1.53,0.77,94.21,0,0,0.77,55.92,0,1.53,0,1.53,6.89,2.3,2.3
120,0,0,0,19.6,1.96,0,23.52,94.07,3.92,3.92,11.76,0,0,7.84,7.84,0,1.96,1.96,0,43.12,3.92,3.92,13.72,76.43,1.96,0,0,0,86.23,0,1.96,0,23.52,0,3.92,0,3.92,3.92,3.92,0
