stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,42.91,686.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,18.39,0,0,0,0,0,0
  7-9,2.63,0,10.51,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,134.06,7.89,0,0,36.8,0,2.63,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,2,3,1,2,0,0,0,2,1,0,0,0,0,0,2,0,2,35,2,0,1,1,1,0,7,1,10,0,0
 24-34,0,0,0,2.46,0,4.93,0,0,0,0.82,0,0,0.82,0.82,0,0,6.57,0,1.64,63.21,0.82,0,0.82,0,0.82,0,0,0,13.95,1.64,0
 36-46,0,0,0,0.81,0,8.06,0,0.81,0,1.61,0,0,0,0,0,0,6.45,0.81,0.81,41.09,0,0,0.81,0,0,0,0,0,8.06,0.81,0
 48-58,0,0,0.57,0.57,0,21.8,0.57,0,0.57,6.31,0,0,0,0,0,0.57,9.18,1.15,1.72,41.89,0.57,0,0,0,0.57,0,0,0,8.61,0,0
 60-70,0,0,0,0,0,21.59,0,0,0,3.93,0,0,0.98,0.98,0,0,6.87,0,0,19.63,0,0,0,0,0,0,0,0,4.91,0,0.98
 72-82,0,0,0,0,0,13.74,0,0,0,12.76,0,0,0,0,0,0,11.78,0.98,0.98,23.56,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,8.5,0,0,0,4.25,0,0,0,0,1.06,0,6.37,0,0,10.62,0,0,1.06,0,1.06,0,0,0,2.12,3.19,0
 96-106,0,0,0,1.09,0,7.65,0,1.09,0,5.46,0,0,0,0,1.09,0,6.56,0,1.09,13.11,0,1.09,0,0,4.37,0,0,0,1.09,1.09,0
108-118,0,0,0,1.53,0,4.6,0,0.77,0,3.83,0,0,0,0,0,0,3.83,0.77,2.3,19.92,0,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,3.92,0,7.84,0,0,0,5.88,3.92,0,1.96,0,0,0,5.88,1.96,0,17.64,0,0,0,0,0,0,0,0,0,1.96,0
