stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,171.63,435.2,12.26,0,0,6.13,36.78,18.39,30.65,6.13,0,0,0,0
  7-9,92,60.46,84.12,2.63,162.98,21.03,1109.32,113.03,862.22,2.63,2.63,0,0,0
 10-12,0,56.65,84.97,15.73,201.41,12.59,1693.07,75.53,566.45,3.15,3.15,3.15,40.91,3.15
