stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.55,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,517,1,0,0,0,0,0,0,0,0,7,0,0,1,1,1,0,0,6,1,0,0,0,0,4,1,0,2,2,0,0,0,0
 24-34,0,0,0,0,196.18,0,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0,2.46,0,0.82,12.31,0,0.82,0,0,0,0.82,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,126.49,0,0,0,0.81,0.81,0,0,0,0,0,0,0.81,0,1.61,2.42,0,0,4.03,0,3.22,0,0,0,0.81,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,0,189.93,0,4.02,0,8.61,1.15,0,0.57,0,0,1.15,0,0,0.57,0.57,1.72,0,0,10.9,0,1.72,0,0,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,0,0,228.69,0,7.85,0,10.8,3.93,1.96,0,0,0,3.93,0,0,0,3.93,1.96,0,0,12.76,0.98,2.94,0,0,0,1.96,0,0,0,2.94,5.89,0,0,0
 72-82,0,0,0,0,274.87,0,8.83,0,9.82,2.94,14.72,0,0.98,0.98,3.93,0,1.96,0,8.83,8.83,0.98,1.96,16.69,0,8.83,0.98,0,0.98,2.94,0,0,0,0.98,21.6,0.98,0.98,0.98
 84-94,0,0,1.06,0,552.26,0,11.68,1.06,26.55,1.06,23.36,0,0,2.12,8.5,2.12,0,0,2.12,4.25,0,1.06,12.74,0,7.43,1.06,0,0,9.56,0,0,0,1.06,62.66,0,2.12,0
 96-106,0,0,2.19,0,424.02,0,7.65,0,17.49,0,56.83,0,0,2.19,12.02,0,2.19,1.09,5.46,6.56,0,2.19,12.02,1.09,18.58,0,0,0,16.39,0,1.09,0,0,62.29,0,0,0
108-118,0.77,0,0,0,354.64,0,3.83,0,6.13,1.53,52.09,0,0,0.77,5.36,0.77,1.53,0.77,6.13,3.06,0,0.77,8.43,0,13.79,0,0,0,11.49,0,1.53,0,0,36.77,0.77,0,0
120,1.96,0,0,0,244.97,0,0,0,11.76,1.96,41.16,0,3.92,0,3.92,0,1.96,0,3.92,3.92,0,0,5.88,0,13.72,0,0,0,1.96,0,0,0,0,9.8,0,1.96,0
