stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.17,6.29,0,0,151.05,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,476,3,22,0,2,0,2,0,1,0,2,0,4,0,0,3,1,0,46,157,22,4,17,7,0,0,0,276,0,40,414,37,0,0,0,0,0
 24-34,0,0,0,1.64,149.4,0,2.46,0,1.64,1.64,0.82,0,1.64,0,3.28,0,20.52,0,0.82,73.06,0.82,0,88.65,182.23,7.39,6.57,33.66,0,0.82,0.82,0,0.82,0,7.39,59.92,36.12,0,0,0.82,0,0
 36-46,0,0,0,0,48.34,0,1.61,0.81,4.03,3.22,3.22,0,0.81,0,2.42,0.81,14.5,0,0,205.45,0,5.64,57.2,59.62,0.81,0.81,16.92,0,0,0,0,0,0,8.06,0,12.09,0,0,0.81,0,0.81
 48-58,0.57,0,0,0,39.02,0,7.46,2.3,9.18,4.02,1.72,0,0.57,0,0.57,0,10.9,0,0.57,230.1,0.57,9.75,32.71,42.46,0.57,0,15.49,0,0,0,0,0,0,11.48,0,10.9,0,0.57,0,0,0
 60-70,0,0,0,0,40.24,0,7.85,1.96,9.82,2.94,6.87,0.98,0,0,0,0.98,9.82,0,0,266.97,0,16.69,30.43,32.39,0,0.98,13.74,0,0,0,0,0,0,5.89,0,0.98,0,8.83,3.93,11.78,0.98
 72-82,0,0,0,0,26.5,1.96,13.74,0,2.94,0,16.69,2.94,0,0,0.98,0,8.83,0.98,0,319.04,0.98,18.65,38.28,47.12,0,1.96,24.54,0,0,2.94,0,0,0,1.96,0,2.94,0,5.89,3.93,24.54,0
 84-94,0,0,1.06,0,80.71,0,23.36,2.12,19.12,1.06,11.68,11.68,0,2.12,0,1.06,10.62,0,0,241.08,0,13.81,18.05,29.74,0,3.19,29.74,0,0,1.06,0,0,0,4.25,0,3.19,0,9.56,1.06,33.99,0
 96-106,0,0,0,0,51.36,0,27.32,6.56,13.11,1.09,20.76,6.56,0,3.28,0,1.09,6.56,1.09,0,228.4,1.09,10.93,18.58,43.71,0,3.28,37.16,0,3.28,2.19,1.09,0,0,3.28,0,4.37,0,5.46,2.19,41.53,0
108-118,0,0,0,0,37.53,0.77,25.28,1.53,20.68,1.53,19.92,13.79,0,0.77,0.77,1.53,8.43,0.77,0,163.15,0,7.66,24.51,37.53,0,0,26.04,0,1.53,2.3,0,0,0,7.66,0,3.83,1.53,2.3,1.53,19.92,0.77
120,0,0,0,0,35.28,3.92,5.88,0,5.88,0,7.84,5.88,0,0,0,0,5.88,0,0,143.06,0,3.92,17.64,39.2,0,1.96,15.68,0,1.96,1.96,0,0,1.96,1.96,0,0,0,3.92,1.96,15.68,0
