stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0
 24-34,0,0,0,4.93,1.64,0,4.93,0.82,29.55,0,0.82,0,0,0,0,0,0,0,3.28,0,0.82,9.85,0,1.64,0,0,0,0,0,0,0,0,4.1,3.28,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,37.06,0.81,0.81,0,0,0,0.81,0,0,0.81,0.81,0,0.81,11.28,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,1.15,0,0,1.72,1.15,30.41,0,0.57,0,0,0,0,0.57,0,0,2.3,0,0.57,12.62,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,38.28,0.98,2.94,0.98,0,0.98,0.98,0,0,0,2.94,0.98,0.98,4.91,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,0,2.94,0,36.32,0,3.93,2.94,0.98,0,1.96,0,0,0,6.87,0,0,6.87,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0.98,1.96,0.98
 84-94,0,0,0,3.19,2.12,0,2.12,0,91.34,1.06,2.12,11.68,0,3.19,2.12,0,0,1.06,4.25,1.06,1.06,7.43,0,0,0,0,0,2.12,0,0,1.06,0,0,0,1.06,0,0,1.06
 96-106,0,1.09,0,0,0,0,2.19,0,71.04,0,1.09,13.11,0,3.28,3.28,0,0,0,7.65,0,0,6.56,0,0,0,0,0,2.19,0,0,1.09,1.09,0,1.09,0,0,1.09,0
108-118,0,0,0,0.77,1.53,0,5.36,0,66.64,0,2.3,3.83,0,3.06,3.83,0.77,0.77,0,9.19,0,1.53,13.02,0,0.77,0,0,0,1.53,0,0,0,0,0,0,0,0,2.3,0
120,0,0,0,7.84,0,1.96,3.92,1.96,29.4,0,3.92,1.96,0,7.84,7.84,0,0,0,17.64,0,3.92,13.72,0,0,1.96,0,1.96,7.84,0,0,0,0,0,1.96,0,0,1.96,0
