stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,15,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,2.46,0,0.82,0,0,55,0,0,0,0.82,0.82,0,0,0,0,13.13,0,0.82,0,0,0.82,0,2.46,0,1.64,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,1.61,0,0,58.01,0,0,0,0,0.81,1.61,0,0,0,12.09,0,0,0,0,1.61,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,4.02,0,0,0,0,59.1,0,0,0,0,3.44,1.72,0,0,0,5.16,0,0.57,0,0,0,0,0.57,0,1.15,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,5.89,0,0,0.98,0,85.39,0,0.98,0,0,6.87,2.94,0,0,1.96,5.89,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0.98
 72-82,0,0,1.96,0,0.98,0,0,6.87,0.98,0,1.96,0,107,0,0,0,0,2.94,1.96,0,0,0.98,9.82,0,0,0.98,0,0,0,0,0,0.98,0.98,0.98,0,0
 84-94,0,0,0,0,0,0,0,3.19,0,1.06,3.19,0,130.63,0,0,0,0,13.81,1.06,0,0,1.06,2.12,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,1.09,2.19,0,2.19,0,1.09,1.09,0,151.91,0,0,0,1.09,12.02,3.28,0,1.09,0,5.46,0,0,2.19,0,2.19,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0.77,0,1.53,2.3,2.3,3.06,0,0.77,3.83,0,119.49,0.77,0.77,0,1.53,13.02,1.53,0.77,0,0,7.66,0,0,0.77,0,1.53,0,1.53,0,0.77,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0,166.58,0,0,1.96,0,7.84,0,0,0,0,13.72,0,1.96,0,0,5.88,0,0,0,0,0,3.92,0,0
