stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,11,0,0,1,0,0,3,0,2,21,6,0,0,0,0
 24-34,0,3.28,0,9.85,0,0,0,0,0,0.82,0,0,2.46,0,0,0,112.46,0,0,0.82,0,0.82,0,0,0,2.46,5.75,0,0,0,0.82
 36-46,0,1.61,0,9.67,0,0,0,0,0,0,0,0,1.61,0,0,0,170.8,0,0,0,0,0.81,0,0,0,0,6.45,0,0,0,0
 48-58,0,1.72,0,36.15,1.15,0.57,0.57,1.15,0,0,0,0,1.72,0,0,2.3,134.27,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0
 60-70,0,1.96,0,265.01,0,0,0,1.96,0,0,0,0,3.93,0,0,0,107.97,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,425.06,0,0,1.96,1.96,0,0,0,0,5.89,0.98,0,0,113.87,0,0,1.96,0.98,0,0,0,0,0,0.98,0.98,0,1.96,0
 84-94,1.06,0,1.06,341.98,0,0,0,0,0,0,2.12,0,7.43,1.06,1.06,1.06,50.98,0,0,0,1.06,1.06,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,1.09,0,246.98,0,0,0,0,1.09,0,1.09,0,2.19,0,0,0,39.34,0,0,0,0,1.09,0,0,0,0,2.19,0,0,0,0
108-118,0,0.77,0.77,160.09,0.77,0,0,2.3,1.53,0.77,0.77,0,1.53,0,0,1.53,49.79,0,0.77,0,0.77,0.77,0,0,0,0,0,0,1.53,0,0
120,0,3.92,0,174.42,0,0,0,1.96,0,0,0,1.96,3.92,0,0,0,48.99,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0
