stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,0,0,0,0,0,0
 60-70,0,1.96,0,0,0,0.98,0,0,4.91,4.91,0,0,0,0,0,0,0,0,0
 72-82,0,5.89,0,0,0,0.98,0,0.98,53.99,8.83,0.98,0,17.67,0,0,0,0,0,0.98
 84-94,0,9.56,0,1.06,0,3.19,0,0,128.51,24.43,0,0,6.37,0,0,0,0,0,1.06
 96-106,0,8.74,1.09,2.19,0,7.65,0,4.37,283.05,44.81,5.46,2.19,51.36,0,4.37,0,0,1.09,0
108-118,0,3.83,0.77,0.77,0,3.06,0.77,0,347.75,52.85,0,2.3,39.83,0,0,0.77,0,0,0.77
120,0,3.92,0,0,1.96,1.96,0,0,219.5,41.16,0,0,33.32,0,0,0,0,0,0
