stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,155.09,2.63,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,33,7,14,0,0,0,4,3,0,0,0,4,0,0,0,1,23,0,0,11,290,2,1,5,4,0,2,39,3,1,26,98,0,0,2,0,0
 24-34,0,0,0,0.82,4.93,0,26.27,0,1.64,0,7.39,0,0,0.82,0,0.82,0,0,0,0.82,22.98,0,0,15.6,253.64,0.82,1.64,2.46,0,0,9.85,0.82,1.64,0,6.57,55,0,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,51.56,0,0,1.61,7.25,0,0,0.81,0,0,0,0.81,0,0.81,20.95,0,0,5.64,252.17,0,2.42,3.22,0,0,3.22,0,0.81,0,0,49.15,0,0,1.61,0,1.61
 48-58,0,0,0,0,2.3,0.57,82.63,0,0.57,1.15,12.05,0.57,0,0.57,1.15,0,0,0.57,0.57,0,33.28,0.57,1.15,6.89,201.41,0,1.15,1.72,0,0,3.44,0,0,0,0,32.71,0,0,4.02,0,0
 60-70,0,0,0,0,7.85,0,108.95,0,0.98,0,18.65,0,0,0,0.98,0.98,0,0,0,0,26.5,0,0,5.89,189.43,0,0.98,1.96,0,0,3.93,0,0,0,0,23.56,0,0.98,0,0.98,0.98
 72-82,0,0,0,0,5.89,0.98,90.31,0,0,0.98,24.54,0.98,0,0.98,0.98,1.96,0.98,0,0,0,56.94,0,1.96,3.93,162.96,0.98,0.98,3.93,0,0,5.89,0,0,0.98,0,13.74,0.98,1.96,5.89,0.98,0
 84-94,0,0,1.06,0,12.74,0,42.48,0,2.12,1.06,20.18,2.12,0,0,1.06,3.19,0,1.06,1.06,0,25.49,0,2.12,4.25,98.77,0,0,3.19,0,2.12,5.31,0,0,0,0,7.43,0,1.06,7.43,3.19,2.12
 96-106,0,0,0,0,5.46,0,34.97,1.09,4.37,3.28,14.21,0,0,2.19,5.46,0,1.09,1.09,0,0,33.88,1.09,0,2.19,62.29,1.09,5.46,2.19,0,0,10.93,0,0,0,0,3.28,2.19,1.09,2.19,0,1.09
108-118,0,0,0.77,0,6.13,0,39.06,0,3.06,1.53,13.02,2.3,0,0,4.6,4.6,2.3,2.3,1.53,0,32.94,0,0,9.19,108,0.77,3.83,2.3,0,0.77,6.89,0,0,0,0,3.06,0,0.77,8.43,0,2.3
120,1.96,0,0,0,3.92,0,13.72,0,0,0,5.88,3.92,0,0,9.8,0,1.96,1.96,0,0,17.64,0,0,1.96,76.43,5.88,1.96,3.92,0,0,5.88,0,0,0,0,0,0,0,0,0,0
