stage,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mucous,muscle,neural,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0.81,1.61,1.61,0,0.81,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0.57,0,0,1.72,0,0,0,0,0.57
 60-70,0,0,0,0,0,1.96,1.96,0,0.98,0,0,0,0,0,0.98,0,0.98
 72-82,0,0.98,0,0,0.98,0.98,3.93,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,7.43,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,10.93,0,0,0,0,2.19,0,0,1.09,0,0
108-118,0,0.77,0.77,0,0,0.77,14.55,0,0,0.77,0.77,0.77,0.77,0,0,0,0
120,0,0,0,0,0,0,13.72,1.96,1.96,0,0,0,0,0,0,1.96,0
