stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,3,0,0,1,1,0,0,0,0
 24-34,1.64,1.64,0,4.93,0.82,0,0.82,0,0,0,0,0,0,0,7.39,0,0,2.46,44.33,0.82,0.82,0.82,0,0.82,0.82,1.64,0,10.67,0,0,0,0
 36-46,0,1.61,0,7.25,0,0,1.61,0,0,0,0,0,0,0,1.61,0,0,1.61,53.17,0,0.81,0,0,0,0,0,0,10.47,0,0,0.81,0
 48-58,0,0.57,0,13.2,0,0,5.16,0,0.57,0,0,0,0,0,2.3,0,0,0.57,33.28,0,0,0,0,3.44,0,0,0,6.31,0,0,0.57,0
 60-70,0,0.98,0,13.74,0,0,0,0.98,0.98,0,0.98,0,0,0,7.85,0,0,0,41.22,0.98,0,0,0,5.89,0,0,0,5.89,0.98,0,0,0
 72-82,0,1.96,0.98,18.65,0,0,2.94,0,0,0,0.98,0,0,0,6.87,0.98,0,1.96,41.23,0,0,0.98,0,7.85,0,0,0,4.91,0.98,1.96,0.98,0.98
 84-94,0,2.12,1.06,11.68,1.06,1.06,6.37,1.06,0,0,0,0,0,1.06,7.43,0,1.06,1.06,24.43,0,1.06,0,0,24.43,0,0,0,5.31,0,0,1.06,0
 96-106,0,5.46,1.09,9.84,0,0,2.19,1.09,1.09,0,0,1.09,0,0,5.46,1.09,0,0,15.3,0,0,0,0,20.76,0,0,0,0,2.19,0,2.19,0
108-118,0,3.06,0.77,12.26,0.77,0,5.36,0.77,0,0,0.77,0.77,0.77,0,6.89,0,0,1.53,27.57,1.53,0,0,0,8.43,0,0,0,0,0,0,0.77,0
120,0,1.96,3.92,7.84,1.96,0,29.4,1.96,0,1.96,0,0,0,0,1.96,0,0,0,62.71,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0
