stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,105.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,226.8,331,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,55.17,18.39,0,0,24.52,0,6.13,0,0,0,0,0,0
  7-9,42.06,2.63,7.89,0,0,5.26,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,44.69,18.4,0,0,115.66,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109,0,0,0,0,0,0,0,2,113,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,554.9,0,0.82,0.82,0,0,0.82,0.82,0,166.63,0,0.82,0
 36-46,0,0,0,2.42,0,9.67,0,0,0,0,0.81,0,0,0,0,0,0.81,0.81,0,0,1104.57,0,0,0,0,0,0,0,0,208.67,0,0,0.81
 48-58,0,0,0,2.3,0,30.41,0,0,0,9.75,0,0,0.57,1.15,0.57,0,0,12.62,0,2.3,1164.25,1.15,0,0.57,0,0,1.15,0,0,246.16,0,0,1.72
 60-70,0,0,0,0.98,0,14.72,0.98,0,1.96,4.91,0,0,0,0,0.98,0,0,4.91,0,0,613.45,0,0,0,0,0,1.96,0,0,117.78,0,0,0
 72-82,0,0,0,0.98,0,32.39,0.98,0,0,9.82,0,0,0,0,0,0,0,7.85,0.98,0,448.62,0,0.98,0,0,0.98,0,0,0,49.08,0,0,0
 84-94,0,0,0,0,1.06,26.55,0,0,0,2.12,0,0,0,1.06,0,0,0,1.06,0,0,194.35,0,0,0,0,0,0,0,0,28.68,1.06,1.06,0
 96-106,0,0,0,3.28,1.09,15.3,0,0,1.09,2.19,0,0,0,0,0,0,1.09,2.19,0,0,112.56,0,0,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0,2.3,0,9.19,0,0.77,0,1.53,0,0,0,0,0,0.77,0,1.53,0,0,189.96,0,0,0,0,0,0,0,0,3.06,0,0,0
120,0,0,0,1.96,1.96,5.88,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,146.98,0,0,0,0,1.96,0,0,0,0,0,1.96,0
