stage,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,vasculature
 14-21,1,0,1,0,0,0,0,0,1,1,3,0,0,0,0,4,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,7.39,0,0.82,0,0.82,0.82,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,8.06,0.81,0,0.81,0.81,1.61,0
 48-58,0,0,2.87,0,0,0,0,0,0.57,0,5.16,0,0,0,0,1.15,0
 60-70,1.96,0.98,2.94,0.98,0.98,0,0,0.98,2.94,0,9.82,0.98,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0.98,0,0.98,0,5.89,0,0,0,0,0,0
 84-94,1.06,0,4.25,0,0,1.06,0,1.06,0,0,2.12,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,3.28,0,0,1.09,0,4.37,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0.77,0,0,0.77,0,1.53,0,0,0,1.53,0,0
120,1.96,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,1.96
