stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,2.63,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,89.38,0,0,0,36.8,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,25.18,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,100.7,0,0,0,31.47,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,11,2,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,0,1,41,7,0,1,0,3,3,0,0,7,24,0,0,1,0,0
 24-34,0,0,0,0,12.31,0,0,7.39,0,0,0.82,2.46,1.64,0,0,0,0,0,0,4.1,4.93,9.03,0,0,2.46,129.7,2.46,0,0.82,0,11.49,0,2.46,0,3.28,51.71,0,0,0,0,1.64
 36-46,0,0,0,0,17.72,0,0,25.78,0,3.22,0,7.25,0,0,0,0,0.81,0.81,1.61,0,4.03,9.67,0,0.81,3.22,158.72,0,0.81,3.22,0,21.75,0,1.61,0,1.61,43.51,0,0,2.42,0,1.61
 48-58,0,0,0,0,16.07,0,0,40.74,2.3,1.15,1.15,16.07,0,0,0,1.15,0.57,0.57,1.72,1.15,1.15,18.94,0,0.57,3.44,186.49,0.57,1.15,1.72,0,10.33,0,0,0.57,0,26.4,0,0.57,1.72,0,1.15
 60-70,0,0,0,0,24.54,0,0,71.65,0,4.91,0,9.82,0,0,0,0,0.98,0,0,0.98,0,26.5,0,0,4.91,203.18,2.94,4.91,0.98,0,21.59,0,0.98,0,0,21.59,1.96,1.96,0.98,0,0
 72-82,0,0,1.96,0,8.83,0,0,75.59,0,0,2.94,17.67,5.89,0,0,0,0.98,0,0,0.98,0,24.54,0.98,0,6.87,180.63,0,0.98,1.96,0,6.87,0,0,0,0,18.65,1.96,0.98,3.93,0,0
 84-94,0,0,0,0,21.24,2.12,0,45.67,2.12,1.06,0,18.05,8.5,0,1.06,4.25,0,1.06,0,0,0,16.99,1.06,1.06,3.19,71.16,0,1.06,3.19,0,20.18,0,0,0,0,6.37,0,1.06,2.12,2.12,0
 96-106,0,0,0,0,4.37,1.09,1.09,28.41,1.09,3.28,0,12.02,6.56,0,0,2.19,0,1.09,1.09,1.09,1.09,17.49,0,0,1.09,49.18,0,1.09,2.19,0,9.84,0,0,1.09,0,2.19,0,0,0,2.19,0
108-118,0,0,0.77,0,15.32,1.53,0.77,20.68,0,2.3,1.53,22.98,19.15,0,0.77,0.77,0.77,0,0,0,0,14.55,0,0.77,5.36,52.09,0.77,0,2.3,0,9.96,0,1.53,1.53,0,0.77,1.53,0,2.3,0.77,1.53
120,0,0,0,0,15.68,0,1.96,25.48,0,1.96,1.96,9.8,25.48,0,0,3.92,1.96,1.96,1.96,0,0,19.6,1.96,1.96,5.88,82.31,3.92,0,1.96,0,13.72,0,0,0,0,0,3.92,1.96,1.96,0,0
