stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,207.67,0,0,2.63,0,0,0,0,0,0,0,0,0,0,84.12,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,37.76,0,276.93,0,0,0,0,0,0,0,0,0,0,0,0,0,176.23,15.73,0,50.35,0,0,198.26,0,0,0,0,0
 14-21,0,0,8,1,4,1,0,0,0,18,0,0,0,5,0,1,20,6,0,11,1,1,22,3,88,0,0,0
 24-34,0,0,0.82,1.64,0.82,1.64,0,0,0,2.46,0,0,0,0,0,0.82,30.37,0.82,0.82,0,0,0,0,0,160.89,0,0,0.82
 36-46,0,0,0,0.81,0,4.83,0,0,4.03,0,0,0,0.81,0.81,0,0,30.62,0,0,0,0,0,0.81,0,233.64,0,0,0
 48-58,0,0,0,0.57,0,14.35,0,0,15.49,0.57,0,0,0,2.3,0,1.15,27.54,0.57,0,0,0,0,0,0,196.82,0,0.57,0
 60-70,0,0,0,0,0,12.76,0,0.98,8.83,5.89,0.98,0,0,1.96,0,0,15.7,0,0,0,0,0,0,0,132.51,0,0,0
 72-82,0,3.93,0,0,0,1.96,0,0,5.89,12.76,0,0,0,2.94,0,0.98,11.78,0,0,0,0,0,0,0,82.46,0,0,0.98
 84-94,0,0,0,1.06,0,9.56,1.06,0,9.56,15.93,0,0,0,4.25,0,0,6.37,0,0,0,0,0,0,0,57.35,1.06,0,0
 96-106,0,0,0,2.19,0,5.46,0,0,3.28,16.39,0,0,0,1.09,1.09,0,4.37,0,0,0,1.09,0,0,0,28.41,0,0,0
108-118,0,0.77,0,0.77,0,3.06,0.77,0,1.53,12.26,0,1.53,0,0,0,0,3.83,0,0,0,0,0,0,0,10.72,0,0,0
120,0,0,0,0,0,0,0,0,1.96,17.64,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,19.6,0,0,0
