stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,hatching.gland,iridophores,lateral.line,liver,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,5.26,7.89,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,9.44,9.44,3.15,0,0,0
 14-21,0,1,1,0,0,0,0,0,2,1,4,0,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,14.78,0,7.39,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,53.17,0,14.5,0,0,0
 48-58,0,0,0,1.72,0,0,0,0,0,1.72,60.82,0,20.08,0.57,0,0
 60-70,0,0,0.98,14.72,1.96,0,0,0,0,2.94,163.91,0,22.58,0,0,0
 72-82,0,0,0.98,10.8,1.96,0,0,0,0,6.87,203.2,0,32.39,0,0,0
 84-94,0,0,1.06,10.62,2.12,0,0,0,0,2.12,94.52,0,14.87,0,1.06,1.06
 96-106,0,0,1.09,13.11,1.09,0,3.28,1.09,1.09,1.09,81.96,0,7.65,0,0,0
108-118,0,0,1.53,8.43,3.06,0,3.06,0,0,2.3,81.19,0,6.13,0,0,0
120,0,0,0,13.72,1.96,0,3.92,0,0,1.96,146.98,0,7.84,1.96,0,0
