stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,4,2,13,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,9.03,0,0,0,0,0,0,0,3.28,0,0,19.7,0.82,0.82,0.82,0,0,0,0,0,4.1,0,12.31,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0.81,3.22,0,0,0,0,0,0,0,0,0,0.81,42.7,0,0,0.81,0,0,0.81,0,0,0.81,0,19.34,0,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0.57,3.44,0,0,0,0,0,0.57,0,1.15,0.57,0,59.68,0,1.15,1.15,0,0,0,0,0,0,0,13.2,0,0,0,0
 60-70,0,0,0,0,0.98,0,4.91,0,0,9.82,0.98,0.98,0,0,0.98,0.98,0,1.96,0,0,138.39,0,0,1.96,0,0,0,0,0,0.98,0,7.85,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,12.76,0,0,35.34,0,0.98,0,0,0.98,0.98,0.98,10.8,0,0,160.01,0,0,7.85,0,0,0,0,0,0.98,0,17.67,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,16.99,0,0,9.56,0,0,0,0,1.06,4.25,0,5.31,0,0,80.71,1.06,6.37,6.37,0,0,1.06,1.06,0,1.06,0,7.43,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,0,15.3,0,0,20.76,1.09,1.09,2.19,0,0,4.37,0,6.56,0,0,56.83,0,7.65,16.39,0,0,1.09,0,0,1.09,0,9.84,0,0,0,0
108-118,0,0,0,0.77,1.53,2.3,13.79,0.77,0.77,18.38,0,0,0,0.77,0,2.3,0,9.96,0,0,98.04,0,2.3,11.49,0,0.77,0,0,0,0.77,0,3.06,0.77,0,0.77,0
120,0,0,0,0,3.92,1.96,5.88,0,0,7.84,0,0,1.96,0,0,5.88,0,1.96,0,0,135.23,0,1.96,11.76,0,0,0,0,0,3.92,0,13.72,0,0,0,0
