stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,3,0,1,0,1,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,6,1,2,0,0,0
 24-34,0,1.64,0,1.64,0,0,0,0.82,0.82,0,0,0,0,2.46,0,0,23.8,0,1.64,0,0,0,12.31,0,9.85,0,0.82,0
 36-46,0,1.61,0,8.06,0,1.61,0,0,0,0,0,0,0,3.22,0,0,47.53,0,0,0.81,0,0,6.45,0,6.45,0,0,0
 48-58,0,0,0,10.33,0,0,0,0,0,0,0,0,0,1.72,0,0.57,39.59,0.57,2.3,0,0,0.57,3.44,0,5.16,0,0,0
 60-70,0,0.98,0,17.67,0,0.98,0.98,0,0,0,0,0,0,1.96,0,0,71.65,0,0,0,0,0.98,4.91,0,7.85,0.98,0,0
 72-82,0,0.98,0.98,13.74,0,4.91,0,0,0.98,0,0,0,0.98,1.96,0,0,31.41,0,0.98,0,0,0,0.98,0,1.96,0,0,0
 84-94,0,1.06,0,8.5,0,2.12,1.06,0,0,0,0,0,0,0,1.06,0,15.93,0,0,0,0,0,6.37,0,3.19,0,0,0
 96-106,0,1.09,1.09,5.46,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,12.02,0,0,0,0,0,8.74,0,0,0,0,1.09
108-118,0,3.83,0.77,13.02,0,0,0.77,0,0.77,0.77,0,0,0,1.53,0,0,16.85,0,0.77,0,0,0,13.02,0,0.77,0,0,0
120,0,0,0,7.84,0,0,0,0,0,0,1.96,1.96,0,0,0,0,11.76,0,0,0,0,0,5.88,0,1.96,0,0,0
