stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,0,1,0,0,0,6,0,0,1,0,3,0,0,2,42,1,0,0,0,1,1,20,0,1,0,0
 24-34,0,0,0,1.64,0.82,0,0,0.82,0,4.1,0,0,0,0,2.46,0,0,1.64,69.77,1.64,0,0.82,3.28,0.82,0,24.63,0,0.82,0,0
 36-46,0,0,0,0.81,0,5.64,0,0.81,0,6.45,0,1.61,0,0,13.7,0,0.81,0.81,79.76,2.42,0.81,0,4.03,0,0,17.72,0,1.61,0,0
 48-58,0,0,0,0.57,0,4.02,0,0.57,0,3.44,0,0,0,0.57,6.31,0,0.57,0,20.08,0.57,0,0,0,0,0,7.46,0,0,0,0
 60-70,0,0.98,0,0,0,6.87,0,0.98,0,8.83,0,0,0,0,11.78,0,0,0.98,20.61,0,0,0,1.96,0,0,4.91,0,0,0,0
 72-82,0,0.98,0,0.98,0,4.91,0,0,0,6.87,0.98,0,0,0,15.71,1.96,0,0.98,19.63,2.94,0,0.98,3.93,0,0,2.94,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,7.43,0,0,0,6.37,0,1.06,0,0,13.81,0,2.12,1.06,10.62,1.06,0,0,1.06,0,0,4.25,1.06,0,2.12,1.06
 96-106,0,0,0,2.19,1.09,6.56,1.09,0,0,5.46,1.09,0,0,0,10.93,0,0,0,21.86,0,1.09,1.09,2.19,0,0,0,1.09,1.09,0,0
108-118,0,0,0,0.77,0,4.6,0.77,0.77,0.77,1.53,0,0,0.77,0,5.36,0,0,1.53,10.72,0.77,0,0.77,6.13,0,0,2.3,0,0,0.77,0
120,0,0,0,0,0,3.92,0,0,0,3.92,0,0,0,0,1.96,0,0,1.96,19.6,1.96,3.92,0,7.84,0,0,0,0,0,0,0
