stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0,4.1,1.64,0,0,0,0.82,0.82,0.82,0,0,0
 36-46,0,1.61,0,0.81,0,0,0,0.81,0,0,0.81,0,4.03,0,0,0,5.64,0,0,0,1.61,0.81,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,2.3,0,0,0,0.57,0,2.87,0,0,0.57,6.31,0,0,0,0,0,0,0,0,0,0
 60-70,0.98,0.98,0,1.96,0.98,0,1.96,10.8,0,0.98,2.94,0,3.93,0,0,0,10.8,0,0,0,0,0,0,0.98,0,0,0
 72-82,3.93,0,0,5.89,0,0.98,0,54.97,0,9.82,4.91,1.96,12.76,0,0,0,18.65,0,0,0,0,3.93,0,0,0,1.96,0
 84-94,5.31,1.06,0,2.12,0,0,1.06,101.96,0,4.25,2.12,0,1.06,0,1.06,0,13.81,0,0,0,1.06,8.5,0,0,1.06,0,0
 96-106,3.28,2.19,2.19,4.37,0,0,1.09,144.26,0,20.76,6.56,1.09,3.28,0,0,1.09,30.6,0,1.09,1.09,3.28,13.11,0,1.09,1.09,2.19,1.09
108-118,0.77,2.3,0,1.53,0.77,0.77,1.53,191.49,0.77,10.72,4.6,0,3.06,0.77,0.77,0,26.81,0,0.77,0,0,16.09,0,0,0.77,0,0
120,1.96,1.96,0,1.96,1.96,0,1.96,137.18,3.92,3.92,0,3.92,5.88,0,0,0,29.4,0,0,0,3.92,15.68,0,0,0,0,0
