stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,66.09,6.29,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,39,5,8,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,7,60,2,1,1,4,0,0,19,1,0,14,34,0,0,2,0,0
 24-34,0,0.82,0.82,35.3,0.82,23.8,0,3.28,2.46,4.93,0.82,0,0,0,0.82,0,0.82,0.82,0,40.22,0.82,0,23.8,160.07,0,2.46,2.46,0,0,5.75,0.82,0,0.82,10.67,64.85,0,0,4.93,0,0
 36-46,0,0,0,8.06,0.81,34.64,4.83,4.03,2.42,4.83,0.81,0,1.61,0,0,0,0.81,0.81,0,55.59,0,3.22,24.17,148.24,0,0.81,0.81,0,0,6.45,0,0,0.81,0,58.81,0,0,1.61,0,0
 48-58,0,0,0,8.61,0,37.87,1.72,2.3,6.31,5.16,1.15,0,0,0.57,0,0,0.57,0,1.15,53.94,0,1.72,15.49,76.32,0.57,1.15,2.3,0,0.57,3.44,0,0,1.15,0,25.82,0,1.15,2.3,0,1.72
 60-70,0,0.98,0,8.83,0,48.09,0,2.94,4.91,8.83,0,0,0,0.98,0,0,0,0,0,50.06,0,0.98,4.91,69.69,0.98,0,0,0,0,6.87,0,0,0,0,8.83,1.96,0.98,1.96,0.98,0.98
 72-82,0,0,0,12.76,0.98,20.61,1.96,1.96,7.85,5.89,0,0,0.98,1.96,0,0,0.98,0,0,31.41,0.98,1.96,16.69,30.43,0,1.96,0.98,0,0,3.93,0,0,0,0,5.89,1.96,0,4.91,1.96,2.94
 84-94,0,1.06,0,23.36,1.06,23.36,0,4.25,5.31,3.19,1.06,0,1.06,2.12,3.19,1.06,0,0,0,38.23,1.06,2.12,9.56,19.12,0,0,3.19,0,0,9.56,0,0,0,0,5.31,3.19,1.06,7.43,0,3.19
 96-106,0,2.19,0,15.3,0,18.58,0,2.19,3.28,3.28,3.28,0,0,6.56,1.09,1.09,0,1.09,0,24.04,1.09,0,6.56,12.02,0,1.09,1.09,0,0,12.02,0,0,0,0,0,2.19,0,6.56,1.09,1.09
108-118,0,1.53,0,10.72,0,12.26,0.77,4.6,2.3,7.66,0.77,0,0,7.66,0.77,1.53,1.53,0,0,20.68,0,2.3,9.96,23.74,0,0,0,0,0,3.83,0,0,0,0,0.77,2.3,0,6.13,0,0.77
120,0,1.96,0,19.6,0,7.84,1.96,0,1.96,3.92,3.92,0,0,1.96,0,0,1.96,0,0,7.84,0,0,7.84,29.4,0,0,0,0,0,1.96,0,0,1.96,0,0,5.88,0,3.92,0,0
