stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,7,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,29,0,0,0,0,0,0,2,1,1,2,12,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,7.39,0,0,0.82,0,0,0,0.82,0,0.82,4.1,0,0,0,59.1,0,0.82,0.82,0,0,0,0,0,0,0.82,12.31,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,1.61,0,0,0,0,0,0,3.22,0,0,0,37.06,0,2.42,0.81,0,0,0,0,0,0,0,9.67,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,9.18,0,0,1.15,0,0,0.57,0.57,0.57,0,1.72,0,0.57,0.57,52.22,0,0.57,0,0,0,0,0,0,0,0,12.62,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,8.83,0,0.98,1.96,0,0.98,0,1.96,0.98,0,3.93,1.96,0,0,53,0,0,0.98,0,0,0,0,0,0,0,10.8,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,19.63,2.94,0,1.96,0,0,0,1.96,4.91,0,3.93,0,0,0.98,90.31,0,0.98,0,0,0,0.98,0,0,0,0,4.91,0,0.98,1.96,0,0.98
 84-94,0,0,0,0,0,0,0,11.68,0,0,1.06,0,0,1.06,9.56,10.62,1.06,3.19,0,1.06,0,36.11,0,1.06,3.19,0,0,1.06,0,0,0,0,6.37,1.06,0,0,1.06,0
 96-106,0,0,0,0,6.56,1.09,1.09,14.21,0,0,3.28,0,1.09,1.09,5.46,46.99,0,3.28,0,0,1.09,42.62,0,0,4.37,0,1.09,1.09,0,0,0,0,3.28,0,2.19,1.09,0,0
108-118,0,0,0,0.77,1.53,1.53,0,15.32,0,0,6.13,0,0,0,6.89,40.6,0,7.66,0,0,0.77,68.94,0,1.53,0.77,0,0,1.53,0,0,0,0,1.53,0,0,1.53,0,1.53
120,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,1.96,0,7.84,15.68,0,7.84,0,0,0,47.03,0,1.96,0,0,0,0,0,0,0,0,9.8,0,1.96,0,0,0
