stage,blastomeres,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64
 36-46,0,0.81,0.81,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81
 48-58,0,0,7.46,0,0,0,0,1.15,0,0,0.57,0,0,0,0
 60-70,0,0,30.43,0,0,0.98,0,0.98,0,0,1.96,0,0,0,0
 72-82,0,0,58.9,0,0.98,0,0.98,0.98,2.94,0,2.94,0,0.98,0.98,0.98
 84-94,0,0,56.29,0,1.06,0,0,4.25,1.06,0,1.06,0,0,0,0
 96-106,0,0,57.92,1.09,0,0,0,2.19,0,0,0,0,2.19,0,0
108-118,0,0,48.26,0,0,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,39.2,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0
