stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,9.03,0,0,0,0,18.88,0,14.78,0,0,0.82,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,3.22,0,0,0,0,23.36,0,35.45,0,0,0.81,0,0,4.03,0,1.61,0
 48-58,0,0,1.15,0,1.72,0.57,0,0.57,0,1.72,0,0,0.57,0.57,18.94,0,18.94,0,0,0.57,0,0,0.57,0,0,0.57
 60-70,0,1.96,0,0,0,0.98,0.98,1.96,0,1.96,0,0.98,0,0,17.67,0.98,5.89,0,0,0,0,0,0.98,0,0,0
 72-82,0,1.96,1.96,0,3.93,0,1.96,18.65,0,1.96,0,0,0,0,42.21,0,8.83,0,0,0,0,0,0,0,0.98,0
 84-94,0,2.12,5.31,0,1.06,0,0,41.42,0,2.12,0,0,1.06,1.06,28.68,0,13.81,0,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,5.46,1.09,3.28,1.09,1.09,68.85,0,1.09,1.09,2.19,0,1.09,43.71,1.09,13.11,0,0,3.28,0,0,0,0,0,0
108-118,0,0,2.3,0,2.3,0,0.77,86.55,0,1.53,0,0,0,1.53,23.74,0,6.13,0.77,0,0.77,0,0,0,0.77,0,0
120,0,0,1.96,0,1.96,0,0,41.16,0,0,0,0,0,0,21.56,0,3.92,0,0,1.96,0,0,0,3.92,0,0
