stage,axial,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,0,1,0,0,1,0,4,0,0,0,1,0,4,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,1.64,4.1,0.82,0,0,0.82,0,3.28,0,0,0,0
 36-46,0,0,0.81,2.42,0,1.61,0,0,0,4.03,0,8.86,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0.57,4.59,1.15,2.87,0,0,0,0,0,1.72,0,0,0,1.15
 60-70,0,0.98,0,0.98,0,3.93,0,0,0,3.93,0.98,7.85,0,0,1.96,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,1.96,0,0.98,0,0,0,8.83,0.98,3.93,0,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,0,1.06,2.12,1.06,2.12,0,0,0,4.25,0,4.25,1.06,0,0,2.12,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,0,4.37,0,1.09,0,3.28,1.09,4.37,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0.77,0.77,0,1.53,0,0.77,0,4.6,0,3.83,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
