stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,3.28,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,1.61,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,1.72,0.57,0,0.57,0.57
 60-70,0,0,0,0,1.96,0,0,1.96,0,0.98,0,0,1.96,5.89,0.98,0,0.98,0.98
 72-82,0,0,0,0,5.89,0,0.98,0.98,0,0,0,0,0,15.71,1.96,0,0,0
 84-94,0,0,0,1.06,3.19,0,0,0,1.06,0,0,0,1.06,4.25,2.12,0,2.12,1.06
 96-106,0,0,0,0,2.19,1.09,0,0,0,1.09,0,0,0,12.02,0,1.09,6.56,1.09
108-118,0,0,0,0,6.13,0,0,0.77,0,0,0,0.77,0,14.55,0,0,3.83,0
120,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,13.72,0,0,5.88,0
