stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,6.13,294.22,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,12.26,6.13,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,76.23,2.63,0,26.29,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,34.62,0,0,12.59,0,0,6.29,0,0,0,0
 14-21,0,0,0,4,2,0,0,1,0,0,1,0,1,20,1,0,1,2,3,0,4,9,1,0
 24-34,0,0,0,3.28,0,3.28,0,0.82,0,0,8.21,0.82,1.64,28.73,0.82,0.82,0,9.85,0,0,0.82,9.03,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,1.61,0,0,3.22,0,0,0,1.61,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,2.3,1.15,0,0,0,2.3,0,0.57,8.03,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0.98,0.98,0,0.98,0.98,0,0.98,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,4.91,0.98,0,1.96,0,1.96,0,0,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,1.06,0,0,0,0,0,0,3.19,1.06,0,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,2.19,0,2.19,0,2.19,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0.77,0,1.53,0,0,0,0,1.53,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0
