stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,11,0,11,0,1,0,2,1,2,0,0,0,1,0,3,24,1,0,9,18,21,0,0,3,0,0,41,3,5,32,5,0,0,20,0,4
 24-34,0,0,5.75,0,0,18.06,0,0.82,3.28,0,1.64,6.57,3.28,0,3.28,0.82,0,32.01,133.8,0.82,0,45.97,40.22,51.71,0,0,0,0,0.82,0.82,0.82,0,3.28,10.67,0,0,146.93,0,36.12
 36-46,0,0,4.83,0,0,6.45,0,0,7.25,2.42,0.81,3.22,2.42,1.61,7.25,1.61,0,32.23,218.34,0,1.61,41.09,59.62,51.56,0.81,0,0,0,4.83,0,0.81,0.81,0,13.7,0,0.81,156.3,0,37.06
 48-58,0,0,7.46,1.72,0,11.48,0.57,0.57,9.75,4.02,0,8.03,6.31,0,12.62,0,0,29.84,228.95,0,12.62,33.28,69.43,52.22,0.57,0,0,2.3,0,0,0.57,1.15,0,14.92,0,3.44,141.73,0.57,47.63
 60-70,0.98,0,8.83,0.98,0,16.69,3.93,0,6.87,14.72,0.98,18.65,16.69,0,33.37,0.98,0,21.59,280.72,0,47.11,29.45,68.71,53,0,0.98,0,18.65,0.98,0,0.98,1.96,0,15.7,0,21.59,109.93,24.54,37.3
 72-82,0,0,0.98,2.94,0,41.23,5.89,0,16.69,66.75,0,15.71,34.36,0,30.43,0,0,25.52,318.06,0,63.81,21.6,104.06,40.25,0.98,0.98,0,20.61,1.96,0,1.96,0.98,0,12.76,0.98,39.27,208.11,69.7,46.14
 84-94,1.06,1.06,9.56,2.12,0,42.48,3.19,1.06,7.43,49.92,2.12,5.31,59.47,1.06,43.54,1.06,0,41.42,226.21,0,58.41,19.12,60.54,56.29,0,1.06,0,18.05,2.12,0,1.06,0,0,9.56,0,46.73,192.23,80.71,47.79
 96-106,0,0,7.65,4.37,0,27.32,9.84,3.28,7.65,98.36,2.19,17.49,54.64,1.09,44.81,0,2.19,39.34,210.92,0,62.29,24.04,83.06,34.97,2.19,2.19,0,49.18,6.56,0,2.19,0,0,2.19,0,37.16,239.33,110.38,53.55
108-118,0.77,0,5.36,3.83,1.53,25.28,6.13,0.77,7.66,87.32,0,6.89,65.11,0.77,72,0,2.3,42.13,178.47,0,52.85,15.32,55.15,39.83,0.77,1.53,0,39.06,6.13,0,3.06,3.06,0,3.06,0,33.7,192.26,69.7,64.34
120,0,0,9.8,3.92,0,9.8,11.76,1.96,1.96,70.55,1.96,13.72,86.23,0,39.2,0,1.96,19.6,156.78,1.96,39.2,19.6,54.87,60.75,1.96,0,0,47.03,1.96,0,1.96,1.96,0,3.92,0,25.48,141.1,97.99,31.36
