stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,5.26,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,15.73,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704.92,0,0,0,66.09,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,12,2,0,19,0,1,0,7,0,0,1,0,0,0,0,0,1,17,0,0,16,1081,0,3,0,7,0,0,5,1,1,4,461,0,0,0,0,1
 24-34,0,0,0,12.31,0,0,22.16,0,0,0,22.16,0,0,0,0,0,1.64,0,0.82,3.28,36.94,0,0,4.1,1417.62,0,4.1,0,0,0,0,0,0.82,0,6.57,441.62,0,0,1.64,0,0.82
 36-46,0,0,0,10.47,0,0,20.14,0.81,0,0.81,44.31,0,0,0,0,0,0.81,0,0,3.22,49.95,0.81,0,4.83,1224.62,0,2.42,1.61,0,0,0,0,2.42,0,0,428.62,0,0,0.81,0,1.61
 48-58,0,0,0,13.77,0,0,74.59,0,0,0,85.5,0,0.57,0,0,0,1.15,0,0,1.72,117.63,0,0.57,5.16,751.68,0,0.57,1.72,0,0,1.15,0,1.15,0,0,277.72,0,0,1.15,0,0
 60-70,0,0,0,12.76,0,0,261.08,0,0.98,0,103.06,0,0,0,0,0,9.82,0,0,0,157.04,0,0.98,2.94,736.14,0,0.98,1.96,0,0,1.96,0,1.96,0,0,128.58,0,0,0.98,0,0.98
 72-82,0,0,0,15.71,0,0,293.52,0,0,1.96,100.13,0,0,1.96,0.98,1.96,7.85,0,0,0.98,209.09,0,0,3.93,639.06,0,2.94,2.94,0,0.98,0.98,0,1.96,0,0,57.92,0,0,0,0.98,1.96
 84-94,0,0,0,9.56,0,0,181.61,0,1.06,2.12,57.35,1.06,0,1.06,1.06,0,4.25,1.06,0,0,148.69,0,1.06,2.12,321.8,0,1.06,4.25,0,0,1.06,0,0,0,0,43.54,4.25,2.12,0,1.06,0
 96-106,0,0,0,9.84,0,1.09,122.4,0,1.09,1.09,55.74,0,0,0,0,0,5.46,1.09,0,1.09,109.28,0,3.28,2.19,253.54,0,0,3.28,0,0,2.19,0,1.09,0,0,12.02,0,0,2.19,1.09,1.09
108-118,0,0,0,6.13,0,0.77,71.23,0,0,0,40.6,0,0,0.77,0,0,6.13,1.53,2.3,0.77,75.83,0,1.53,0.77,281.87,0,0,3.06,0,0,0.77,0,0,0,0,8.43,0,0,0,0.77,1.53
120,0,0,0,1.96,1.96,1.96,82.31,0,1.96,0,39.2,0,0,0,0,0,3.92,0,0,0,58.79,0,3.92,0,341,0,1.96,1.96,0,0,0,0,0,0,0,9.8,3.92,0,1.96,0,0
