stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,98.07,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,19,2,0,6,0,0,0,1,1,0,0,0,1,0,0,0,0,9,0,0,6,43,1,0,0,0,0,3,0,1,166,53,17,0,0,1,0,0
 24-34,0,0,0,4.93,0.82,0,10.67,142.01,0,0,4.1,0,0,2.46,0.82,1.64,0,0,0,0,15.6,0,0,22.16,120.67,0.82,1.64,0.82,0,0,8.21,0,0,132.98,97.68,27.91,0,0,0.82,0,0
 36-46,0,0,0,4.83,0,0,14.5,210.28,1.61,0.81,2.42,0,0,2.42,0.81,0,0,0.81,0.81,0,12.89,0.81,0,13.7,82.18,0,1.61,0,0.81,0,8.06,0.81,0,85.4,7.25,25.78,0,0,2.42,0,0
 48-58,0,0,0,3.44,0.57,0,32.13,188.78,1.72,2.3,9.18,0.57,0,1.15,1.72,0,1.15,0,0.57,0.57,18.36,0.57,0.57,17.79,86.07,0.57,1.15,1.15,0,0,5.74,0,0,70,0,17.79,0,0,1.72,0,1.15
 60-70,0,0,0,8.83,0,0,47.11,145.27,0.98,0.98,3.93,0,0,0,0.98,1.96,0,0.98,0.98,0.98,14.72,1.96,0,10.8,56.93,0,1.96,0.98,0.98,0,7.85,0,0.98,51.04,0,4.91,0,0,0.98,0,1.96
 72-82,0,0,0,7.85,1.96,0,45.16,120.74,0,1.96,11.78,0,0,0.98,2.94,0,0.98,0,0,0,23.56,0.98,0.98,13.74,62.83,0,0.98,0,0,0.98,4.91,0,0,28.47,0,5.89,0.98,0,2.94,0,0.98
 84-94,0,0,1.06,14.87,5.31,1.06,26.55,184.79,3.19,0,4.25,7.43,0,1.06,4.25,4.25,2.12,2.12,1.06,3.19,25.49,2.12,2.12,14.87,48.85,0,0,1.06,0,1.06,15.93,0,2.12,49.92,0,4.25,2.12,1.06,2.12,1.06,1.06
 96-106,0,0,0,16.39,6.56,1.09,27.32,264.47,1.09,0,10.93,5.46,0,0,7.65,6.56,1.09,1.09,1.09,0,32.79,2.19,2.19,15.3,44.81,0,0,2.19,0,2.19,36.06,0,1.09,49.18,0,1.09,0,0,5.46,2.19,2.19
108-118,0,0,0,7.66,0.77,0.77,15.32,189.96,5.36,1.53,7.66,5.36,0,0.77,3.83,1.53,0.77,0.77,1.53,0.77,16.09,0,1.53,21.45,24.51,0,2.3,3.06,0,1.53,17.62,0,0.77,42.13,0,0.77,0.77,0,3.06,0,2.3
120,0,0,0,23.52,0,1.96,13.72,78.39,1.96,0,5.88,0,0,0,7.84,0,0,0,0,0,13.72,0,1.96,17.64,31.36,0,0,0,0,1.96,7.84,0,0,9.8,0,0,0,0,1.96,0,0
