stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,23.66,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,5,1,4,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,1.64,5.75,0,0.82,0,0,0,12.31,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,2.42,0,0,0,4.83,0,0,0,0,0,16.11,0,0.81,0,0
 48-58,0,0,0,0,0,0,1.15,0,1.15,0,0,0,2.3,0,0,0.57,2.3,0,0,0,3.44,0,0,0,0,0,8.61,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,2.94,0,0,0,0,0,3.93,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,10.8,0,0,0,0
 72-82,0,0,0,0.98,6.87,0,10.8,0,0,0,0,0,5.89,0,0.98,5.89,6.87,0,0,0,7.85,0.98,0,0,0,0,13.74,0,0,0.98,0
 84-94,0,0,0,1.06,6.37,2.12,2.12,1.06,0,0,0,0,15.93,1.06,0,32.92,2.12,0,1.06,0,5.31,0,0,0,0,1.06,29.74,0,0,0,0
 96-106,0,1.09,0,1.09,7.65,2.19,3.28,2.19,0,1.09,0,1.09,7.65,0,0,52.46,7.65,1.09,0,1.09,7.65,0,0,0,0,0,43.71,0,1.09,3.28,1.09
108-118,0,0,0,1.53,3.83,10.72,6.13,2.3,0,0.77,1.53,0.77,10.72,0,0,42.89,5.36,0.77,0,0.77,9.19,0,0,0.77,0,0,28.34,0,0,6.13,0.77
120,0,0,0,0,1.96,1.96,1.96,0,0,1.96,1.96,0,17.64,0,0,33.32,3.92,1.96,0,0,3.92,0,0,0,0,1.96,23.52,0,0,1.96,0
