stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,15.73,0,0,69.23,0,0,28.32,0,0,0,0,0,0,0
 14-21,0,1,148,77,7,0,0,0,33,2,0,1,1,0,76,0,0,26,18,23,0,1,132,0,14,1,0,4,43,0,2,0,0
 24-34,0,0,192.08,0.82,23.8,2.46,0,0,4.1,9.85,0.82,0,4.93,0.82,64.03,1.64,0,21.34,21.34,0,0,4.93,0,1.64,0,0,0,3.28,8.21,0,6.57,0,0
 36-46,0,0,58.01,0,16.92,2.42,0.81,0,1.61,12.89,0,0,3.22,0,82.18,0.81,3.22,10.47,19.34,0,0.81,4.03,0,1.61,0,0,0,0,2.42,0,3.22,0,0
 48-58,0,0,40.74,0.57,22.95,0,2.87,0.57,0,8.61,0,0,2.87,0,114.19,0,6.89,13.2,33.85,0,0,5.16,0,2.87,0,0,0,0,3.44,1.72,1.72,1.15,0
 60-70,0,0,15.7,0,38.28,0.98,1.96,0,0.98,2.94,1.96,0,2.94,0,113.86,0,4.91,7.85,26.5,0,0,2.94,0,3.93,0,0,0.98,0,4.91,1.96,0,6.87,0
 72-82,0,0,12.76,0,33.38,0.98,3.93,0,0,1.96,3.93,0,4.91,0,124.67,0,12.76,21.6,28.47,0,0,3.93,0,0.98,0,0,0.98,0,0.98,1.96,1.96,16.69,0
 84-94,0,0,25.49,1.06,48.85,0,4.25,3.19,1.06,4.25,3.19,0,2.12,0,113.64,1.06,9.56,10.62,12.74,0,0,2.12,0,0,0,0,0,0,1.06,5.31,2.12,14.87,0
 96-106,0,0,4.37,0,29.51,1.09,2.19,0,0,3.28,3.28,0,3.28,0,115.84,0,8.74,20.76,22.95,0,0,7.65,0,1.09,0,0,0,0,0,3.28,0,16.39,0
108-118,0,0,7.66,0.77,32.94,1.53,1.53,1.53,0,0.77,1.53,0,3.83,0,98.04,0,6.13,12.26,20.68,0,0,1.53,0,1.53,0,0.77,0,0,0,0,0.77,9.96,0
120,0,0,3.92,0,27.44,0,3.92,0,0,1.96,11.76,1.96,3.92,0,68.59,0,5.88,15.68,19.6,0,0,7.84,0,0,0,0,1.96,0,0,1.96,0,9.8,1.96
