stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,13,0,0
 24-34,0,0.82,0,0.82,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0.82,142.83,0,1.64,0.82,0,0.82,40.22,2.46,0
 36-46,0.81,0.81,0,28.2,0,0,2.42,0,0,0,0.81,0,0,2.42,0,0,371.41,0,1.61,0.81,0,0,67.68,0.81,0
 48-58,0,1.15,0,133.7,0,0,5.74,0,0,0,0,0,0,3.44,0,0,473.96,0,0,0.57,0,0,84.92,0.57,0.57
 60-70,0,0,0,430.89,0,0,15.7,0,0,0,0,0,0,2.94,0,0.98,663.51,0,0,0,0,0,93.24,0,0.98
 72-82,0.98,2.94,0,420.15,0,0.98,15.71,0.98,0,0,0.98,0.98,0,13.74,0,0,545.8,0,0,0.98,0,0,45.16,1.96,0.98
 84-94,0,4.25,1.06,208.16,0,0,12.74,0,0,1.06,0,0,0,7.43,2.12,3.19,251.7,0,0,0,0,0,25.49,1.06,0
 96-106,2.19,3.28,0,119.12,0,0,15.3,0,0,0,1.09,0,1.09,10.93,0,2.19,212.01,0,1.09,0,0,0,9.84,0,0
108-118,0,2.3,0,88.09,0.77,0,6.89,0.77,0,0,1.53,0,0,6.13,0,0,177.7,0,0.77,0,0.77,0,5.36,0,0
120,0,1.96,0,70.55,0,0,3.92,0,0,0,0,0,0,3.92,0,1.96,164.62,1.96,0,0,0,0,3.92,0,0
