stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,2.63,0,0,0,0,0,23.66,2.63,0,13.14,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,53.5,3.15,0,12.59,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,5,0
 24-34,0,0,0,0,2.46,0.82,0,0,0,3.28,0,0,22.98,0,0.82,0,0,0,1.64,2.46,0
 36-46,0,0,0,0,4.03,0.81,0,0,0,0,0,0.81,7.25,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,4.59,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,4.91,0,0,0,0.98,2.94,0.98,0,3.93,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,2.12,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,1.09,1.09,1.09,0,1.09,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
