stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.44,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,4,24,0,0,0,0,0,1,0,6,6,11,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,2.46,0.82,0,0,0,0,0,0,0.82,0,0,0,0,4.93,0,0,4.1,18.06,0.82,0.82,0,0,0,1.64,0,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0.81,9.67,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,4.59,0,0,3.44,0.57,0,0,0,0,0.57,0,0,0,4.59,1.15,0,1.72,16.64,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,2.94,0,0,1.96,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0.98,3.93,0.98,0,0,0,0,2.94,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,9.82,0,5.89,0.98,0.98,20.61,0,0,0.98,1.96,0,0,0,0.98,0,24.54,0.98,2.94,4.91,28.47,0.98,0,0.98,0,0.98,1.96,0,0,0,4.91,0,0,1.96,0.98
 84-94,0,0,0,0,2.12,3.19,0,4.25,0,0,5.31,2.12,1.06,1.06,1.06,0,0,0,0,2.12,11.68,0,0,3.19,6.37,1.06,0,0,0,0,0,0,0,0,1.06,1.06,2.12,0,2.12
 96-106,0,0,0,0,8.74,5.46,3.28,6.56,0,1.09,7.65,2.19,0,0,2.19,1.09,0,0,0,0,6.56,0,0,0,6.56,0,0,0,0,0,4.37,0,0,0,0,0,1.09,3.28,0
108-118,0,0,0,0,3.83,2.3,9.19,3.06,0,0.77,6.89,1.53,0,0.77,2.3,1.53,1.53,0,2.3,0.77,11.49,0,0,1.53,10.72,0,0.77,0,0,0.77,3.83,0,0,0,0.77,0,1.53,0,3.06
120,0,0,0,0,1.96,3.92,1.96,1.96,0,1.96,5.88,5.88,0,0,11.76,0,0,1.96,1.96,0,9.8,3.92,0,3.92,13.72,0,0,1.96,0,0,3.92,0,0,0,0,1.96,1.96,0,1.96
